n,$\mu_{m_1}$,$\sigma_{m_1}$,$\mu_{h_{pred}}$,$\sigma_{h_{pred}}$,$\mu_{h_1}$,$\sigma_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,no:yes,after_replication_no:yes
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.401,2,7.292,15842,0.4457831325301205,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,6.97,0,6.97,402,16.142857142857142,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,7.949,0,7.949,639,3.0,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.098,0,8.098,7389,0.9672131147540983,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,7.195,1,7.195,381,6.0588235294117645,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,7.641,2,7.641,8023,1.105263157894737,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,7.758,0,7.758,17599,0.9047619047619048,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.137,1,7.365,5674,1.2641509433962264,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,7.64,1,7.64,4907,1.8571428571428572,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,7.242,0,7.242,39479,4.714285714285714,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.041,1,8.041,4253,0.8181818181818182,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,8.263,1,7.892,3362,0.8461538461538461,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,9.049,1,9.049,11763,0.8461538461538461,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.667,0,8.667,13819,0.8461538461538461,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,7.237,2,7.237,1488,5.666666666666667,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.256,0,8.256,1357,2.0,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,9.048,0,9.048,7262,0.48148148148148145,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,7.627,2,7.627,331,4.454545454545454,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,7.375,1,7.375,383,6.0588235294117645,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.753,2,8.498,3425,0.5789473684210527,
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,2,8.051,2,8.051,6788,1.0338983050847457,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,2,8.345,2,8.345,5284,1.7272727272727273,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,0,8.682,1,8.357,4121,0.7647058823529411,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,1,8.609,1,8.609,6006,1.2641509433962264,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,2,8.792,2,8.792,14212,1.6666666666666667,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,2,7.761,1,7.477,10925,1.7906976744186047,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,2,7.009,2,7.009,450,39.0,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,0,9.041,0,9.041,10719,0.8181818181818182,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,1,7.863,1,7.863,1033,1.8571428571428572,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,1,8.005,1,8.005,18834,1.1428571428571428,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,2,8.221,2,8.221,3798,1.3076923076923077,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,0,7.509,0,7.509,2088,5.315789473684211,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,2,9.082,2,9.082,2558,1.3076923076923077,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,1,7.063,1,7.063,4281,9.909090909090908,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,2,8.627,2,8.627,383,2.3333333333333335,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,2,7.254,1,7.095,2665,6.0588235294117645,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,2,6.724,1,5.901,534,119.0,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,0,7.159,0,7.159,523,19.0,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,1,9.365,0,7.481,3279,1.3076923076923077,2.3333333333333335
3,40,0,7.570799999998902,0.6789800056229955,7.817483333333331,0.7565351245499914,1,7.366,1,7.366,7485,3.1379310344827585,2.3333333333333335
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,0,7.995,0,7.995,5462,6.5,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,4,8.874,4,8.874,3566,1.7272727272727273,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,1,8.241,1,8.241,1470,4.454545454545454,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,0,7.955,0,7.955,6195,6.5,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,3,8.568,3,8.568,519,5.666666666666667,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,4,8.472,4,8.472,2156,4.0,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,3,7.747,3,7.747,14486,7.571428571428571,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,4,7.959,4,7.959,1542,4.454545454545454,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,0,10.095,0,10.095,7419,2.3333333333333335,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,3,8.225,4,7.91,4398,2.1578947368421053,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,1,9.554,1,9.554,26082,1.553191489361702,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,0,8.833,0,8.833,460,4.0,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,2,9.404,0,8.026,12057,0.7910447761194029,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,2,7.104,2,7.104,451,19.0,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,2,9.836,2,9.836,14054,1.5,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,2,7.345,2,7.345,468,29.0,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,1,8.448,1,8.448,3663,3.6153846153846154,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,2,7.746,2,7.746,4000,11.0,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,2,7.668,4,7.143,20760,7.0,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.949724999999998,0.7609295284511618,2,8.997,3,6.707,22046,4.0,5.0
5,24,0,8.021899999997851,0.7082640405723547,7.9558916666666635,0.7984919272686264,4,7.709,4,7.709,2545,9.0,6.0588235294117645
5,24,0,8.021899999997851,0.7082640405723547,7.9558916666666635,0.7984919272686264,4,8.344,0,7.316,17668,3.2857142857142856,6.0588235294117645
5,24,0,8.021899999997851,0.7082640405723547,7.9558916666666635,0.7984919272686264,4,8.269,1,7.208,6151,3.4444444444444446,6.0588235294117645
5,24,0,8.021899999997851,0.7082640405723547,7.9558916666666635,0.7984919272686264,0,9.073,0,9.073,2571,2.3333333333333335,6.0588235294117645
5,24,0,8.021899999997851,0.7082640405723547,7.9558916666666635,0.7984919272686264,0,7.258,0,7.258,1133,19.0,6.0588235294117645
5,24,0,8.021899999997851,0.7082640405723547,7.9558916666666635,0.7984919272686264,1,8.499,1,8.499,2053,2.076923076923077,6.0588235294117645
