n,$\mu_{m_1}$,$\sigma_{m_1}$,$\mu_{h_1}$,$\sigma_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,2,7.387,2493
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,1,7.554,1995
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,2,7.387,5381
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,1,7.554,14796
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,2,7.387,1613
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,1,7.554,3671
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,2,7.387,1107
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,1,7.554,2400
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,2,7.387,2324
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,2,7.387,4720
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,1,7.554,5449
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,1,7.554,17921
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,1,7.554,4371
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,2,7.387,1349
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,1,7.554,2352
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,2,7.387,5931
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,1,7.554,448
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,2,7.387,20347
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,1,7.554,585
3,40,0,7.570799999998902,0.6789800056229955,1,7.554,2,7.387,871
3,40,0,7.656525,0.6696815869808402,2,7.555,2,7.555,4960
3,40,0,7.656525,0.6696815869808402,2,7.555,1,6.453,6732
3,40,0,7.656525,0.6696815869808402,2,7.555,2,7.555,1881
3,40,0,7.656525,0.6696815869808402,2,7.555,1,6.453,2881
3,40,0,7.656525,0.6696815869808402,2,7.555,2,7.555,3177
3,40,0,7.656525,0.6696815869808402,2,7.555,0,6.75,2093
3,40,0,7.656525,0.6696815869808402,2,7.555,2,7.555,693
3,40,0,7.656525,0.6696815869808402,2,7.555,0,6.75,10643
3,40,0,7.656525,0.6696815869808402,2,7.555,2,7.555,3615
3,40,0,7.656525,0.6696815869808402,2,7.555,1,6.453,6499
3,40,0,7.656525,0.6696815869808402,2,7.555,1,6.453,5622
3,40,0,7.656525,0.6696815869808402,2,7.555,2,7.555,642
3,40,0,7.656525,0.6696815869808402,2,7.555,0,6.75,3356
3,40,0,7.656525,0.6696815869808402,2,7.555,2,7.555,2136
3,40,0,7.656525,0.6696815869808402,2,7.555,0,6.75,5987
3,40,0,7.656525,0.6696815869808402,2,7.555,2,7.555,5765
3,40,0,7.656525,0.6696815869808402,2,7.555,1,6.453,3759
3,40,0,7.656525,0.6696815869808402,2,7.555,0,6.75,5964
