n,$\mu_{m_1}$,$\sigma_{m_1}$,$\mu_{h_1}$,$\sigma_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
3,40,0,7.570799999998902,0.6789800056229955,2,9.011,2,9.011,496
3,40,0,7.570799999998902,0.6789800056229955,2,7.183,0,6.602,13931
3,40,0,7.570799999998902,0.6789800056229955,1,8.239,1,8.239,5794
3,40,0,7.570799999998902,0.6789800056229955,1,8.606,1,8.606,8545
3,40,0,7.570799999998902,0.6789800056229955,2,8.028,2,8.028,10249
3,40,0,7.570799999998902,0.6789800056229955,2,8.607,1,8.582,16959
3,40,0,7.570799999998902,0.6789800056229955,1,8.712,0,8.287,12094
3,40,0,7.570799999998902,0.6789800056229955,2,7.745,2,7.745,8635
3,40,0,7.570799999998902,0.6789800056229955,0,8.448,0,8.448,400
3,40,0,7.570799999998902,0.6789800056229955,2,8.492,0,7.492,12053
3,40,0,7.570799999998902,0.6789800056229955,2,8.682,2,8.682,1551
3,40,0,7.570799999998902,0.6789800056229955,1,6.235,1,6.235,459
3,40,0,7.570799999998902,0.6789800056229955,0,10.135,0,10.135,21360
3,40,0,7.570799999998902,0.6789800056229955,2,7.127,2,7.127,443
3,40,0,7.570799999998902,0.6789800056229955,1,8.061,1,8.061,2359
3,40,0,7.570799999998902,0.6789800056229955,2,7.73,2,7.73,5389
3,40,0,7.570799999998902,0.6789800056229955,2,7.3,2,7.3,1056
3,40,0,7.570799999998902,0.6789800056229955,1,8.218,0,8.213,4828
3,40,0,7.570799999998902,0.6789800056229955,2,6.635,2,6.635,422
3,40,0,7.570799999998902,0.6789800056229955,1,8.387,2,7.604,15633
5,24,0,7.627416666666668,0.6821006552713231,1,7.066,0,6.946,12210
5,24,0,7.627416666666668,0.6821006552713231,2,9.291,0,8.159,5824
5,24,0,7.627416666666668,0.6821006552713231,1,8.395,0,8.239,4126
5,24,0,7.627416666666668,0.6821006552713231,3,8.143,4,7.577,16795
5,24,0,7.627416666666668,0.6821006552713231,0,9.337,2,7.622,19658
5,24,0,7.627416666666668,0.6821006552713231,3,9.334,3,9.334,1375
5,24,0,7.627416666666668,0.6821006552713231,1,8.955,1,8.955,3783
5,24,0,7.627416666666668,0.6821006552713231,4,7.865,3,7.741,3249
5,24,0,7.627416666666668,0.6821006552713231,0,7.415,1,6.515,15089
5,24,0,7.627416666666668,0.6821006552713231,4,8.194,4,8.194,10993
5,24,0,7.627416666666668,0.6821006552713231,2,7.727,3,7.574,8262
5,24,0,7.627416666666668,0.6821006552713231,0,8.602,4,7.42,23568
5,24,0,7.627416666666668,0.6821006552713231,2,8.205,3,8.005,16691
5,24,0,7.627416666666668,0.6821006552713231,1,9.506,1,9.506,10444
5,24,0,7.627416666666668,0.6821006552713231,2,7.359,2,7.359,1933
5,24,0,7.627416666666668,0.6821006552713231,0,9.255,0,9.255,548
5,24,0,7.627416666666668,0.6821006552713231,0,7.567,4,7.422,5375
5,24,0,7.627416666666668,0.6821006552713231,4,8.135,1,8.074,6245
5,24,0,7.627416666666668,0.6821006552713231,0,8.129,2,7.034,7915
5,24,0,7.627416666666668,0.6821006552713231,1,7.966,0,7.138,5108
5,24,0,7.627416666666668,0.6821006552713231,1,7.635,1,7.635,9378
5,24,0,7.627416666666668,0.6821006552713231,0,8.948,0,8.948,4431
5,24,0,7.627416666666668,0.6821006552713231,3,7.856,3,7.856,7661
5,24,0,7.627416666666668,0.6821006552713231,4,8.586,4,8.586,3224
5,24,0,7.627416666666668,0.6821006552713231,2,9.389,4,7.888,11077
5,24,0,7.627416666666668,0.6821006552713231,4,8.532,0,7.921,7575
5,24,0,7.627416666666668,0.6821006552713231,4,7.533,0,6.896,5959
5,24,0,7.627416666666668,0.6821006552713231,1,7.727,1,7.727,15423
5,24,0,7.627416666666668,0.6821006552713231,0,8.791,3,7.147,7911
5,24,0,7.627416666666668,0.6821006552713231,2,9.188,4,7.583,4361
5,24,0,7.627416666666668,0.6821006552713231,2,7.211,2,7.211,1444
5,24,0,7.627416666666668,0.6821006552713231,1,8.968,2,7.616,17482
5,24,0,7.627416666666668,0.6821006552713231,4,10.156,2,7.324,15773
5,24,0,7.627416666666668,0.6821006552713231,0,8.567,0,8.567,2992
5,24,0,7.627416666666668,0.6821006552713231,1,8.348,1,8.348,1864
5,24,0,7.627416666666668,0.6821006552713231,1,8.084,4,7.876,9855
5,24,0,7.627416666666668,0.6821006552713231,4,8.321,4,8.321,9219
5,24,0,7.627416666666668,0.6821006552713231,4,9.271,4,9.271,5247
5,24,0,7.627416666666668,0.6821006552713231,1,7.829,2,7.22,13627
5,24,0,7.627416666666668,0.6821006552713231,1,8.138,1,8.138,12855
4,30,0,7.627416666666668,0.6821006552713231,0,7.143,0,7.143,1086
4,30,0,7.627416666666668,0.6821006552713231,0,8.515,2,8.306,6544
4,30,0,7.627416666666668,0.6821006552713231,0,8.763,2,7.632,14701
4,30,0,7.627416666666668,0.6821006552713231,0,7.827,0,7.827,2420
4,30,0,7.627416666666668,0.6821006552713231,3,8.924,2,7.997,9976
4,30,0,7.627416666666668,0.6821006552713231,1,7.474,2,7.116,4965
4,30,0,7.627416666666668,0.6821006552713231,2,7.5,2,7.5,13271
4,30,0,7.627416666666668,0.6821006552713231,1,9.692,1,9.692,17880
4,30,0,7.627416666666668,0.6821006552713231,0,7.291,0,7.291,520
4,30,0,7.627416666666668,0.6821006552713231,0,8.686,1,7.23,36944
4,30,0,7.627416666666668,0.6821006552713231,3,7.575,3,7.575,7712
4,30,0,7.627416666666668,0.6821006552713231,1,9.449,1,9.449,8234
4,30,0,7.627416666666668,0.6821006552713231,3,8.576,0,7.74,3792
4,30,0,7.627416666666668,0.6821006552713231,3,9.004,3,9.004,7393
4,30,0,7.627416666666668,0.6821006552713231,2,8.384,1,8.16,4185
4,30,0,7.627416666666668,0.6821006552713231,0,8.107,0,8.107,13789
4,30,0,7.627416666666668,0.6821006552713231,3,8.104,3,8.104,12261
4,30,0,7.627416666666668,0.6821006552713231,0,8.038,0,8.038,331
4,30,0,7.627416666666668,0.6821006552713231,3,7.956,1,7.448,6226
4,30,0,7.627416666666668,0.6821006552713231,3,7.098,3,7.098,1082
6,20,0,7.627416666666668,0.6821006552713231,2,8.374,2,8.374,5243
6,20,0,7.627416666666668,0.6821006552713231,4,9.284,4,9.284,6640
6,20,0,7.627416666666668,0.6821006552713231,1,7.879,2,7.574,10204
6,20,0,7.627416666666668,0.6821006552713231,0,8.476,4,7.209,14563
6,20,0,7.627416666666668,0.6821006552713231,3,9.22,3,9.22,3913
6,20,0,7.627416666666668,0.6821006552713231,2,7.726,0,6.984,3565
6,20,0,7.627416666666668,0.6821006552713231,4,9.006,3,7.21,6833
6,20,0,7.627416666666668,0.6821006552713231,3,9.648,3,9.648,29129
6,20,0,7.627416666666668,0.6821006552713231,0,8.649,5,7.839,11791
6,20,0,7.627416666666668,0.6821006552713231,4,7.959,4,7.959,5336
