nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
5,1070,0.95,0.0655803921649521,0.128,0.13
5,1090,0.966,0.054346239184150755,0.133,0.132
5,1110,0.964,0.05512492713331894,0.142,0.146
5,1130,0.97,0.056256716298349635,0.141,0.14
5,1150,0.98,0.0527452268138452,0.111,0.116
5,1170,0.972,0.05113889866933285,0.127,0.126
5,1190,0.968,0.059492942172198617,0.123,0.124
5,1210,0.962,0.060662616197481076,0.145,0.144
5,1230,0.976,0.05345235497661381,0.125,0.126
5,1250,0.966,0.06188595815119499,0.143,0.148
5,1270,0.978,0.055511557548841926,0.134,0.138
5,1290,0.98,0.050902178365716796,0.108,0.108
5,1310,0.978,0.053070282694611795,0.118,0.12
5,1330,0.968,0.06054443493152467,0.117,0.118
5,1350,0.97,0.051121057442260226,0.131,0.128
5,1370,0.962,0.06346437645220444,0.11,0.108
5,1390,0.982,0.05361023758148528,0.095,0.096
5,1410,0.964,0.0617338141228128,0.119,0.12
5,1430,0.976,0.05811031621896626,0.125,0.128
5,1450,0.976,0.05553755692106329,0.123,0.126
5,1470,0.98,0.052788893381178904,0.105,0.102
5,1490,0.984,0.048521116950111694,0.104,0.102
10,50,0.816,0.3200874447231955,2.735,2.742
10,70,0.824,0.29404466571917043,2.568,2.582
10,90,0.854,0.2555732576476441,2.083,2.066
10,110,0.846,0.24498738930759284,1.922,1.926
10,130,0.858,0.2371645574199682,1.723,1.72
10,150,0.876,0.2122484336397081,1.698,1.692
10,170,0.876,0.19054087731567,1.554,1.55
10,190,0.886,0.21667456730580698,1.439,1.436
10,210,0.916,0.16174977851506878,1.383,1.366
10,230,0.9,0.1640659292094732,1.313,1.322
10,250,0.908,0.16611619298440966,1.269,1.294
10,270,0.92,0.14782257392609965,1.181,1.16
10,290,0.914,0.16987557834846106,1.125,1.132
10,310,0.896,0.15530546295586423,1.133,1.12
10,330,0.914,0.15963897098402027,1.118,1.114
10,350,0.898,0.14440163361385866,1.182,1.186
10,370,0.91,0.18238244768349346,1.047,1.042
10,390,0.908,0.1473717776449145,0.956,0.946
10,410,0.92,0.12070885459752272,1.011,1.016
10,430,0.926,0.13011160531445756,0.981,0.98
10,450,0.936,0.11962580466659085,0.979,0.972
10,470,0.944,0.13036320959813563,0.922,0.916
10,490,0.954,0.12186817749565251,0.933,0.932
10,510,0.928,0.12103640133208789,0.87,0.878
10,530,0.932,0.1258228871813182,0.88,0.868
10,550,0.92,0.11089176658820735,0.945,0.954
10,570,0.946,0.12536384352747007,0.782,0.778
10,590,0.952,0.0989539305649412,0.91,0.91
10,610,0.956,0.11233578724114646,0.829,0.832
10,630,0.958,0.12253259433573306,0.769,0.772
10,650,0.96,0.10254863840248456,0.796,0.794
10,670,0.956,0.09459418953286104,0.836,0.832
10,690,0.952,0.10120779085472245,0.841,0.844
10,710,0.946,0.10036015272360463,0.769,0.77
10,730,0.952,0.12081822624152215,0.78,0.79
10,750,0.948,0.10663013694598981,0.749,0.744
10,770,0.934,0.11723678950009565,0.715,0.712
10,790,0.952,0.09928352675584794,0.705,0.71
10,810,0.948,0.09801760613175828,0.708,0.714
10,830,0.942,0.12026053104514023,0.745,0.744
10,850,0.956,0.08440982220428495,0.681,0.678
10,870,0.956,0.09298017561903908,0.659,0.656
10,890,0.958,0.08465112789833755,0.683,0.688
10,910,0.95,0.08656574989715007,0.664,0.658
10,930,0.958,0.07342774616460117,0.684,0.688
10,950,0.948,0.1074345314589296,0.641,0.636
10,970,0.944,0.10717820496200263,0.706,0.71
10,990,0.946,0.08553490559812373,0.656,0.658
10,1010,0.954,0.08447945955524187,0.627,0.624
10,1030,0.97,0.08737495780691124,0.615,0.618
10,1050,0.97,0.08078673288100921,0.586,0.584
10,1070,0.958,0.0911931402107642,0.598,0.598
10,1090,0.964,0.07154357685134735,0.625,0.614
10,1110,0.958,0.08473564133602719,0.593,0.596
10,1130,0.962,0.08370286582654143,0.644,0.64
10,1150,0.966,0.09792130898986086,0.568,0.566
10,1170,0.98,0.059590829196500765,0.567,0.556
10,1190,0.956,0.09163827142074282,0.581,0.578
10,1210,0.958,0.09489654230830918,0.536,0.536
10,1230,0.964,0.0761910045670608,0.554,0.552
10,1250,0.958,0.08065201129680935,0.531,0.518
10,1270,0.956,0.06772691292821263,0.605,0.61
10,1290,0.958,0.07633895751487317,0.546,0.542
10,1310,0.968,0.07135545329796072,0.515,0.518
10,1330,0.958,0.09548356566257091,0.524,0.524
10,1350,0.968,0.07392767853008075,0.551,0.552
10,1370,0.97,0.0628702398303755,0.523,0.526
10,1390,0.964,0.08746161993534096,0.545,0.538
10,1410,0.956,0.07422311477944009,0.559,0.562
10,1430,0.964,0.06563286002196876,0.526,0.524
10,1450,0.958,0.07672871958553862,0.483,0.48
10,1470,0.954,0.07556110791357862,0.51,0.508
10,1490,0.958,0.06358781490032843,0.536,0.526
