$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0.0,0.0,13.1,13.1,0.59
0.0,0.0,13.2,13.2,0.596
0.0,0.0,13.3,13.3,0.6
0.0,0.0,13.4,13.4,0.556
0.0,0.0,13.5,13.5,0.564
0.0,0.0,13.6,13.6,0.576
0.0,0.0,13.7,13.7,0.586
0.0,0.0,13.8,13.8,0.604
0.0,0.0,13.9,13.9,0.556
0.0,0.0,14.0,14.0,0.58
0.0,0.0,14.1,14.1,0.58
0.0,0.0,14.2,14.2,0.608
0.0,0.0,14.3,14.3,0.552
0.0,0.0,14.4,14.4,0.568
0.0,0.0,14.5,14.5,0.582
0.0,0.0,14.6,14.6,0.59
0.0,0.0,14.7,14.7,0.56
0.0,0.0,14.8,14.8,0.528
0.0,0.0,14.9,14.9,0.554
0.0,0.0,15.0,15.0,0.546
0.1,0.1,0.0,0.0,0.818
0.1,0.1,0.1,0.1,0.838
0.1,0.1,0.2,0.2,0.83
0.1,0.1,0.3,0.3,0.83
0.1,0.1,0.4,0.4,0.822
0.1,0.1,0.5,0.5,0.844
0.1,0.1,0.6,0.6,0.832
0.1,0.1,0.7,0.7,0.8
0.1,0.1,0.8,0.8,0.828
0.1,0.1,0.9,0.9,0.83
0.1,0.1,1.0,1.0,0.826
0.1,0.1,1.1,1.1,0.814
0.1,0.1,1.2,1.2,0.84
0.1,0.1,1.3,1.3,0.824
0.1,0.1,1.4,1.4,0.818
0.1,0.1,1.5,1.5,0.81
0.1,0.1,1.6,1.6,0.818
0.1,0.1,1.7,1.7,0.84
0.1,0.1,1.8,1.8,0.816
0.1,0.1,1.9,1.9,0.808
0.1,0.1,2.0,2.0,0.794
0.1,0.1,2.1,2.1,0.84
0.1,0.1,2.2,2.2,0.824
0.1,0.1,2.3,2.3,0.808
0.1,0.1,2.4,2.4,0.812
0.1,0.1,2.5,2.5,0.826
0.1,0.1,2.6,2.6,0.814
0.1,0.1,2.7,2.7,0.822
0.1,0.1,2.8,2.8,0.796
0.1,0.1,2.9,2.9,0.778
0.1,0.1,3.0,3.0,0.812
0.1,0.1,3.1,3.1,0.816
0.1,0.1,3.2,3.2,0.784
0.1,0.1,3.3,3.3,0.812
0.1,0.1,3.4,3.4,0.786
0.1,0.1,3.5,3.5,0.814
0.1,0.1,3.6,3.6,0.8
0.1,0.1,3.7,3.7,0.836
0.1,0.1,3.8,3.8,0.836
0.1,0.1,3.9,3.9,0.782
0.1,0.1,4.0,4.0,0.788
0.1,0.1,4.1,4.1,0.784
0.1,0.1,4.2,4.2,0.82
0.1,0.1,4.3,4.3,0.81
0.1,0.1,4.4,4.4,0.834
0.1,0.1,4.5,4.5,0.84
0.1,0.1,4.6,4.6,0.816
0.1,0.1,4.7,4.7,0.822
0.1,0.1,4.8,4.8,0.8
0.1,0.1,4.9,4.9,0.772
0.1,0.1,5.0,5.0,0.794
0.1,0.1,5.1,5.1,0.822
0.1,0.1,5.2,5.2,0.786
0.1,0.1,5.3,5.3,0.786
0.1,0.1,5.4,5.4,0.776
0.1,0.1,5.5,5.5,0.792
0.1,0.1,5.6,5.6,0.766
0.1,0.1,5.7,5.7,0.79
0.1,0.1,5.8,5.8,0.796
0.1,0.1,5.9,5.9,0.786
0.1,0.1,6.0,6.0,0.768
0.1,0.1,6.1,6.1,0.782
0.1,0.1,6.2,6.2,0.754
0.1,0.1,6.3,6.3,0.808
0.1,0.1,6.4,6.4,0.772
0.1,0.1,6.5,6.5,0.786
0.1,0.1,6.6,6.6,0.796
0.1,0.1,6.7,6.7,0.78
0.1,0.1,6.8,6.8,0.75
0.1,0.1,6.9,6.9,0.766
0.1,0.1,7.0,7.0,0.764
0.1,0.1,7.1,7.1,0.752
0.1,0.1,7.2,7.2,0.744
0.1,0.1,7.3,7.3,0.8
0.1,0.1,7.4,7.4,0.744
0.1,0.1,7.5,7.5,0.724
0.1,0.1,7.6,7.6,0.762
0.1,0.1,7.7,7.7,0.718
0.1,0.1,7.8,7.8,0.718
0.1,0.1,7.9,7.9,0.738
0.1,0.1,8.0,8.0,0.76
0.1,0.1,8.1,8.1,0.724
0.1,0.1,8.2,8.2,0.748
0.1,0.1,8.3,8.3,0.732
0.1,0.1,8.4,8.4,0.74
0.1,0.1,8.5,8.5,0.704
0.1,0.1,8.6,8.6,0.744
0.1,0.1,8.7,8.7,0.76
0.1,0.1,8.8,8.8,0.706
0.1,0.1,8.9,8.9,0.72
0.1,0.1,9.0,9.0,0.748
0.1,0.1,9.1,9.1,0.704
0.1,0.1,9.2,9.2,0.726
0.1,0.1,9.3,9.3,0.718
0.1,0.1,9.4,9.4,0.73
0.1,0.1,9.5,9.5,0.734
0.1,0.1,9.6,9.6,0.706
0.1,0.1,9.7,9.7,0.734
0.1,0.1,9.8,9.8,0.678
0.1,0.1,9.9,9.9,0.676
0.1,0.1,10.0,10.0,0.706
0.1,0.1,10.1,10.1,0.716
0.1,0.1,10.2,10.2,0.674
0.1,0.1,10.3,10.3,0.65
0.1,0.1,10.4,10.4,0.692
0.1,0.1,10.5,10.5,0.698
0.1,0.1,10.6,10.6,0.662
0.1,0.1,10.7,10.7,0.678
0.1,0.1,10.8,10.8,0.68
0.1,0.1,10.9,10.9,0.69
0.1,0.1,11.0,11.0,0.688
0.1,0.1,11.1,11.1,0.654
0.1,0.1,11.2,11.2,0.672
0.1,0.1,11.3,11.3,0.67
0.1,0.1,11.4,11.4,0.626
0.1,0.1,11.5,11.5,0.658
0.1,0.1,11.6,11.6,0.602
0.1,0.1,11.7,11.7,0.648
0.1,0.1,11.8,11.8,0.646
0.1,0.1,11.9,11.9,0.626
0.1,0.1,12.0,12.0,0.622
0.1,0.1,12.1,12.1,0.662
0.1,0.1,12.2,12.2,0.61
0.1,0.1,12.3,12.3,0.628
0.1,0.1,12.4,12.4,0.648
0.1,0.1,12.5,12.5,0.556
0.1,0.1,12.6,12.6,0.596
0.1,0.1,12.7,12.7,0.664
0.1,0.1,12.8,12.8,0.59
0.1,0.1,12.9,12.9,0.638
0.1,0.1,13.0,13.0,0.608
0.1,0.1,13.1,13.1,0.606
0.1,0.1,13.2,13.2,0.584
0.1,0.1,13.3,13.3,0.554
0.1,0.1,13.4,13.4,0.614
0.1,0.1,13.5,13.5,0.56
0.1,0.1,13.6,13.6,0.572
0.1,0.1,13.7,13.7,0.596
0.1,0.1,13.8,13.8,0.552
0.1,0.1,13.9,13.9,0.558
0.1,0.1,14.0,14.0,0.562
0.1,0.1,14.1,14.1,0.566
0.1,0.1,14.2,14.2,0.562
0.1,0.1,14.3,14.3,0.556
0.1,0.1,14.4,14.4,0.556
0.1,0.1,14.5,14.5,0.57
0.1,0.1,14.6,14.6,0.558
0.1,0.1,14.7,14.7,0.528
0.1,0.1,14.8,14.8,0.546
0.1,0.1,14.9,14.9,0.55
0.1,0.1,15.0,15.0,0.542
0.2,0.2,0.0,0.0,0.824
0.2,0.2,0.1,0.1,0.81
0.2,0.2,0.2,0.2,0.858
0.2,0.2,0.3,0.3,0.818
0.2,0.2,0.4,0.4,0.822
0.2,0.2,0.5,0.5,0.798
0.2,0.2,0.6,0.6,0.828
0.2,0.2,0.7,0.7,0.838
0.2,0.2,0.8,0.8,0.816
0.2,0.2,0.9,0.9,0.8
0.2,0.2,1.0,1.0,0.808
0.2,0.2,1.1,1.1,0.806
0.2,0.2,1.2,1.2,0.836
0.2,0.2,1.3,1.3,0.848
0.2,0.2,1.4,1.4,0.83
0.2,0.2,1.5,1.5,0.844
0.2,0.2,1.6,1.6,0.838
0.2,0.2,1.7,1.7,0.842
0.2,0.2,1.8,1.8,0.806
0.2,0.2,1.9,1.9,0.842
0.2,0.2,2.0,2.0,0.81
