$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS
10,2,0.0,3.0,0.6,0.9349769356747554,0.02060259786624885
10,5,0.0,3.0,0.8999999999999999,0.48654263235575157,0.994045689894565
10,10,0.0,3.0,1.5,0.05445542491703659,0.2617359855618323
10,20,0.0,3.0,3.0,0.9062227726976673,0.09415332421550249
50,2,0.0,12.0,0.6,0.5780354713943943,0.017967852447728472
50,5,0.0,12.0,0.8999999999999999,0.16152398748614138,0.8779847892371975
50,10,0.0,12.0,1.5,0.7416488798201808,0.8310642825068858
50,20,0.0,12.0,3.0,0.8028427238220432,0.2927004336539719
