$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
6.8,1,6.838,2,6.012,14336
6.8,2,7.799,2,7.799,33630
6.8,0,7.194,0,7.194,9906
6.8,1,7.904,1,7.904,4658
6.8,2,9.596,2,9.596,6712
6.8,0,9.024,2,7.295,18465
6.8,1,8.569,1,8.569,7025
6.8,1,8.54,0,6.995,6926
6.8,1,7.258,2,6.917,20438
6.8,1,7.36,2,7.267,6654
6.8,1,7.881,1,7.881,2626
6.8,0,9.436,2,7.591,9973
6.8,2,10.045,2,10.045,18288
6.8,1,8.064,1,8.064,15306
6.8,0,8.517,0,8.517,14537
6.8,0,8.544,1,7.039,6581
6.8,1,7.955,1,7.955,15012
6.8,0,8.22,0,8.22,6305
6.8,0,7.353,2,6.814,27883
6.8,0,6.653,1,6.495,77860
6.8,1,8.687,0,7.396,6485
6.8,0,6.566,1,6.528,6777
6.8,2,8.409,0,5.801,63033
6.8,1,8.618,0,7.981,8021
6.8,2,6.882,0,6.829,16930
6.8,2,7.759,1,7.194,9501
6.8,0,6.907,0,6.907,7803
6.8,2,7.866,1,6.76,11909
6.8,1,7.949,2,6.216,14428
6.8,1,7.202,0,5.872,15918
6.8,0,9.575,0,9.575,1315
6.8,0,10.136,2,5.312,32766
6.8,0,7.149,2,6.86,28701
6.8,1,7.283,1,7.283,5299
6.8,2,5.918,1,5.902,35262
6.8,2,6.885,2,6.885,881
6.8,2,8.147,2,8.147,2462
6.8,0,7.272,0,7.272,13029
6.8,2,7.658,2,7.658,11785
6.8,0,7.758,2,7.702,46966
6.8,0,8.881,0,8.881,2148
6.8,0,8.409,1,7.768,3440
6.8,2,8.23,2,8.23,16081
6.8,1,7.702,1,7.702,6445
6.8,2,8.953,2,8.953,7471
6.8,1,8.863,0,6.938,14719
6.8,1,8.427,0,6.462,5871
6.8,1,7.828,1,7.828,6954
6.8,0,8.219,1,6.904,5672
6.8,0,8.864,0,8.864,6157
6.8,1,7.899,2,7.467,11415
6.8,1,8.067,1,8.067,3903
6.8,0,9.274,1,6.565,7363
6.8,0,9.444,1,5.711,28969
6.8,0,6.165,0,6.165,22550
6.8,1,8.352,2,7.589,14542
6.8,0,9.156,0,9.156,10169
6.8,1,8.061,1,8.061,44224
6.8,1,8.317,2,7.789,18218
6.8,1,7.628,2,6.948,5941
6.8,0,8.576,1,6.884,15865
6.8,2,8.718,0,5.653,8582
6.8,1,6.98,0,6.872,4931
6.8,2,8.727,2,8.727,3615
6.8,2,8.966,0,7.917,4706
6.8,2,7.931,0,6.38,17408
6.8,2,8.537,2,8.537,15284
6.8,1,8.731,1,8.731,14760
6.8,0,6.596,0,6.596,8180
6.8,1,7.952,0,7.441,6714
6.8,0,7.402,1,6.648,21843
6.8,0,8.176,2,7.865,26855
6.8,0,7.45,1,6.69,6137
6.8,0,9.153,0,9.153,10002
6.8,0,8.959,0,8.959,16310
6.8,1,8.836,0,6.672,11775
6.8,2,7.053,1,7.039,21299
6.8,2,7.479,2,7.479,14023
6.8,0,8.36,0,8.36,21072
6.8,2,7.928,0,6.814,27909
6.8,1,8.643,1,8.643,2314
6.8,2,8.427,1,7.396,12140
6.8,2,6.779,2,6.779,20612
6.8,0,6.342,1,6.234,4657
6.8,1,9.324,1,9.324,9325
6.8,0,9.383,1,6.482,17912
6.8,1,7.578,1,7.578,19769
6.8,0,7.655,2,7.267,3276
6.8,0,7.192,2,6.437,9994
6.8,0,8.476,0,8.476,9055
6.8,1,7.77,1,7.77,4095
6.8,2,6.822,1,6.581,8446
6.8,0,8.219,0,8.219,22625
6.8,2,7.938,1,7.587,4181
6.8,0,7.446,0,7.446,40987
6.8,1,8.952,1,8.952,7545
6.8,2,8.877,2,8.877,16987
6.8,1,7.644,1,7.644,30815
6.8,0,8.436,2,7.692,40222
6.8,2,7.256,1,7.246,17222
