$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
9.2,1,8.126,1,8.126,333
9.2,1,7.267,0,6.958,2021
9.2,0,,,,0
9.2,0,7.82,0,7.82,410
9.2,0,7.221,1,6.829,323
9.2,1,,,,0
9.2,1,6.967,1,6.967,342
9.2,0,,,,0
9.2,0,9.928,0,9.928,352
9.2,0,8.543,0,8.543,802
9.2,1,,,,0
9.2,1,8.78,1,8.78,286
9.2,1,8.807,1,8.807,362
9.2,0,7.279,0,7.279,407
9.2,0,,,,0
9.2,1,7.302,1,7.302,413
9.2,0,6.493,0,6.493,236
9.2,0,7.523,0,7.523,277
9.2,1,6.705,1,6.705,327
9.2,0,9.324,0,9.324,525
9.2,1,,,,0
9.2,1,7.657,0,7.349,9394
9.2,1,,,,0
9.2,0,,,,0
9.2,1,7.529,1,7.529,272
9.2,0,,,,0
9.2,1,,,,0
9.2,1,8.443,1,8.443,341
9.2,0,7.034,0,7.034,362
9.2,1,,,,0
9.2,0,7.545,0,7.545,401
9.2,1,7.335,0,7.245,1945
9.2,0,8.687,0,8.687,12379
9.2,0,,,,0
9.2,0,8.106,0,8.106,363
9.2,0,8.096,0,8.096,4713
9.2,0,,,,0
9.2,0,8.282,0,8.282,340
9.2,1,,,,0
9.2,0,,,,0
9.2,1,7.881,1,7.881,309
9.2,1,8.879,1,8.879,313
9.2,1,9.264,1,9.264,336
9.2,0,7.525,1,7.298,12821
9.2,1,8.284,1,8.284,368
9.2,0,8.714,0,8.714,373
9.2,1,,,,0
9.2,1,,,,0
9.2,1,7.855,1,7.855,346
9.2,0,9.243,0,9.243,294
9.2,0,,,,0
9.2,0,,,,0
9.2,1,8.116,1,8.116,390
9.2,0,8.773,0,8.773,3156
9.2,0,8.145,0,8.145,343
9.2,0,7.831,0,7.831,384
9.2,1,,,,0
9.2,0,7.439,0,7.439,377
9.2,0,8.821,0,8.821,333
9.2,1,8.162,1,8.162,450
9.2,1,,,,0
9.2,0,6.983,0,6.983,388
9.2,0,6.994,0,6.994,341
9.2,1,7.269,0,7.124,404
9.2,1,7.834,1,7.834,411
9.2,1,8.023,1,8.023,386
9.2,0,7.963,0,7.963,321
9.2,0,,,,0
9.2,1,8.407,1,8.407,370
9.2,1,7.095,1,7.095,2709
9.2,1,,,,0
9.2,0,9.826,0,9.826,610
9.2,1,7.746,1,7.746,298
9.2,1,8.362,1,8.362,556
9.2,0,8.233,0,8.233,3394
9.2,0,,,,0
9.2,0,,,,0
9.2,0,7.457,0,7.457,385
9.2,0,7.357,0,7.357,404
9.2,0,7.578,0,7.578,339
9.2,0,7.8,1,7.186,1313
9.2,1,,,,0
9.2,0,8.149,0,8.149,422
9.2,1,8.04,1,8.04,441
9.2,0,,,,0
9.2,0,7.337,1,7.282,3012
9.2,0,7.547,1,7.418,2597
9.2,1,7.857,0,6.844,3998
9.2,0,,,,0
9.2,0,8.008,0,8.008,4718
9.2,1,6.961,1,6.961,397
9.2,0,,,,0
9.2,0,7.683,0,7.683,280
9.2,1,8.327,1,8.327,423
9.2,1,8.35,1,8.35,256
9.2,0,8.671,1,8.145,2795
9.2,1,,,,0
9.2,0,7.822,0,7.822,407
9.2,0,7.28,0,7.28,355
9.2,0,8.177,0,8.177,297
