$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
11.0,9,9.297,7,9.042,186710
11.0,1,8.174,1,8.174,2162
11.0,1,,,,0
11.0,7,,,,0
11.0,5,9.906,5,9.906,7354
11.0,3,8.956,5,8.21,232535
11.0,6,,,,0
11.0,9,8.641,8,8.317,239371
11.0,4,,,,0
11.0,4,10.351,4,10.351,3172
11.0,8,,,,0
11.0,3,8.791,3,8.791,100907
11.0,6,,,,0
11.0,3,9.57,4,9.005,207727
11.0,2,9.444,2,9.444,214461
11.0,0,9.078,0,9.078,2224
11.0,6,9.345,6,9.345,1806
11.0,0,8.653,6,8.308,2167
11.0,1,8.528,9,8.472,84625
11.0,4,8.475,6,8.442,87616
11.0,2,9.138,2,9.138,2286
11.0,7,8.58,2,8.358,65762
11.0,9,8.736,9,8.736,2289
11.0,3,8.97,7,8.742,436802
11.0,3,9.397,3,9.397,256181
11.0,5,,,,0
11.0,0,8.479,2,8.093,14384
11.0,9,9.332,9,9.332,2194
11.0,4,10.471,4,10.471,1995
11.0,0,8.539,3,7.712,77755
11.0,5,8.926,5,8.926,41631
11.0,6,8.512,6,8.512,2078
11.0,2,8.767,7,8.031,5055
11.0,0,,,,0
11.0,5,8.397,5,8.397,2180
11.0,9,,,,0
11.0,5,8.705,6,8.43,2243
11.0,5,,,,0
11.0,5,8.371,5,8.371,2271
11.0,0,9.498,0,9.498,7381
11.0,1,8.828,1,8.828,24554
11.0,7,,,,0
11.0,7,8.568,2,8.362,2137
11.0,6,7.92,6,7.92,2271
11.0,2,9.084,2,9.084,2275
11.0,9,9.732,4,9.352,237991
11.0,5,9.074,5,9.074,112072
11.0,2,9.507,2,9.507,142136
11.0,3,9.289,3,9.289,2241
11.0,5,9.455,5,9.455,2209
11.0,4,,,,0
11.0,2,8.624,2,8.624,2185
11.0,8,,,,0
11.0,2,8.708,2,8.708,2164
11.0,9,9.436,2,8.682,136472
11.0,5,,,,0
11.0,8,8.776,9,8.645,150523
11.0,1,8.644,5,8.548,39390
11.0,8,,,,0
11.0,9,8.907,9,8.907,1914
11.0,9,8.436,9,8.436,131787
11.0,6,8.665,2,8.219,2262
11.0,4,8.301,8,8.109,2223
11.0,4,8.633,4,8.633,2258
11.0,5,9.635,5,9.635,20544
11.0,1,8.483,1,8.483,2280
11.0,9,8.589,5,7.646,93800
11.0,7,9.188,7,9.188,255987
11.0,6,8.976,6,8.976,2345
11.0,9,8.444,5,8.424,77549
11.0,1,8.466,1,8.466,2100
11.0,3,9.408,8,8.459,47017
11.0,9,,,,0
11.0,0,8.828,0,8.828,2200
11.0,9,9.904,9,9.904,28929
11.0,0,8.254,1,8.009,2678
11.0,5,,,,0
11.0,1,8.948,1,8.948,2775
11.0,4,9.52,9,8.646,32896
11.0,7,8.472,1,7.704,6606
11.0,1,,,,0
11.0,0,,,,0
11.0,1,9.24,1,9.24,2159
11.0,4,,,,0
11.0,5,9.076,3,8.013,177153
11.0,6,,,,0
11.0,4,,,,0
11.0,1,,,,0
11.0,3,,,,0
11.0,2,9.105,2,9.105,1819
11.0,0,9.799,0,9.799,89711
11.0,0,8.925,3,8.143,7774
11.0,8,9.424,5,9.42,341000
11.0,2,10.047,7,9.393,70447
11.0,4,,,,0
11.0,7,7.896,9,6.421,2008
11.0,9,,,,0
11.0,0,,,,0
11.0,4,,,,0
11.0,4,7.612,4,7.612,2176
