$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
8.2,1,6.669,1,6.669,4696
8.2,1,7.746,1,7.746,1970
8.2,0,7.78,0,7.78,376
8.2,1,8.434,0,7.09,6250
8.2,0,7.122,0,7.122,306
8.2,1,7.077,1,7.077,367
8.2,1,6.476,1,6.476,1109
8.2,0,6.35,0,6.35,361
8.2,0,6.287,1,6.261,358
8.2,1,7.195,1,7.195,1028
8.2,0,7.068,0,7.068,359
8.2,1,8.276,1,8.276,2235
8.2,0,7.996,0,7.996,2822
8.2,0,7.293,1,6.778,12509
8.2,1,7.116,1,7.116,359
8.2,1,7.084,1,7.084,1071
8.2,1,,,,0
8.2,0,8.406,1,7.662,1578
8.2,1,7.989,1,7.989,1601
8.2,1,6.994,0,6.693,4656
8.2,1,6.459,1,6.459,616
8.2,0,8.999,1,6.941,8793
8.2,1,6.967,1,6.967,4015
8.2,0,7.508,1,6.83,4348
8.2,1,8.094,1,8.094,3284
8.2,1,7.27,1,7.27,266
8.2,0,7.694,0,7.694,352
8.2,1,6.87,0,6.666,8614
8.2,0,6.784,0,6.784,323
8.2,0,6.328,0,6.328,409
8.2,1,9.413,1,9.413,4342
8.2,1,7.376,1,7.376,340
8.2,1,7.41,1,7.41,2131
8.2,0,6.864,0,6.864,376
8.2,0,8.352,0,8.352,302
8.2,1,6.749,1,6.749,14151
8.2,0,7.531,0,7.531,264
8.2,0,7.183,0,7.183,315
8.2,1,8.956,1,8.956,313
8.2,1,8.996,0,7.479,7809
8.2,0,6.425,0,6.425,8380
8.2,0,7.195,1,6.731,6351
8.2,0,6.723,1,6.45,318
8.2,1,9.265,1,9.265,4521
8.2,0,7.243,0,7.243,442
8.2,1,8.044,1,8.044,374
8.2,0,6.921,0,6.921,2797
8.2,1,7.835,1,7.835,10366
8.2,1,6.826,1,6.826,341
8.2,1,6.984,1,6.984,350
8.2,0,8.084,0,8.084,3333
8.2,1,7.989,1,7.989,370
8.2,1,9.619,0,8.965,4950
8.2,0,6.868,0,6.868,2291
8.2,0,7.505,0,7.505,272
8.2,1,7.333,1,7.333,315
8.2,1,5.694,0,5.168,433
8.2,0,8.463,0,8.463,10428
8.2,0,7.41,0,7.41,2528
8.2,0,7.769,1,7.178,3552
8.2,0,8.668,1,7.859,8384
8.2,1,7.652,1,7.652,932
8.2,1,8.352,0,6.333,6313
8.2,0,7.611,1,6.954,9528
8.2,1,7.637,1,7.637,1968
8.2,0,6.72,0,6.72,5175
8.2,1,7.114,1,7.114,359
8.2,0,8.016,0,8.016,5924
8.2,0,9.915,0,9.915,286
8.2,0,8.029,0,8.029,369
8.2,1,8.423,1,8.423,3523
8.2,0,7.044,1,7.028,3119
8.2,0,7.391,0,7.391,396
8.2,0,7.981,0,7.981,524
8.2,0,7.723,0,7.723,787
8.2,1,7.896,1,7.896,3958
8.2,1,7.386,1,7.386,312
8.2,0,6.931,0,6.931,271
8.2,0,7.818,1,5.927,7643
8.2,1,8.874,1,8.874,408
8.2,0,6.895,1,6.162,12988
8.2,1,6.903,0,6.266,6020
8.2,1,7.958,0,6.959,3230
8.2,0,7.945,0,7.945,294
8.2,1,8.239,0,7.234,1520
8.2,1,8.164,1,8.164,378
8.2,1,7.319,1,7.319,399
8.2,1,6.86,1,6.86,1605
8.2,0,7.887,0,7.887,5483
8.2,0,8.846,0,8.846,1586
8.2,1,8.064,1,8.064,331
8.2,1,7.074,1,7.074,379
8.2,0,8.771,0,8.771,3971
8.2,1,8.09,1,8.09,7856
8.2,1,8.631,1,8.631,15969
8.2,1,8.383,0,7.436,5012
8.2,1,7.868,1,7.868,533
8.2,1,6.323,1,6.323,3235
8.2,1,7.247,1,7.247,388
8.2,0,7.819,0,7.819,1318
