$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
0.6,0,7.547,1,7.112,8899
0.6,0,6.646,1,6.317,2525
0.6,0,7.282,0,7.282,3611
0.6,1,6.833,0,5.665,10776
0.6,1,6.628,1,6.628,5654
0.6,0,8.026,0,8.026,8788
0.6,1,8.842,1,8.842,7167
0.6,0,6.244,0,6.244,3682
0.6,0,7.65,1,7.512,4667
0.6,0,8.271,0,8.271,11492
0.6,1,5.882,0,5.654,6847
0.6,0,8.176,0,8.176,10248
0.6,1,8.064,1,8.064,2935
0.6,0,7.114,0,7.114,10632
0.6,0,6.46,1,6.041,977
0.6,1,6.794,1,6.794,5287
0.6,0,7.022,1,6.657,3665
0.6,0,7.517,0,7.517,1895
0.6,1,9.274,1,9.274,7763
0.6,0,7.45,1,5.287,10539
0.6,0,8.674,0,8.674,2959
0.6,0,6.909,1,5.782,11382
0.6,0,6.774,1,4.99,4710
0.6,0,7.938,0,7.938,6449
0.6,0,7.65,1,6.408,3552
0.6,1,6.833,1,6.833,5026
0.6,1,7.924,1,7.924,2942
0.6,1,9.104,1,9.104,3121
0.6,1,8.116,0,5.526,9299
0.6,0,8.545,1,6.153,1226
0.6,0,8.064,1,6.606,7003
0.6,0,8.147,1,5.93,9322
0.6,1,8.001,1,8.001,1237
0.6,1,7.797,1,7.797,4437
0.6,0,9.322,0,9.322,1721
0.6,0,7.29,1,5.118,2557
0.6,1,8.276,1,8.276,7208
0.6,1,8.144,1,8.144,4337
0.6,1,6.652,1,6.652,13002
0.6,0,5.721,0,5.721,7991
0.6,0,10.279,0,10.279,6539
0.6,0,5.585,1,5.568,12296
0.6,1,7.648,1,7.648,5852
0.6,1,7.483,0,6.893,4088
0.6,0,7.43,1,5.01,12987
0.6,0,6.716,0,6.716,3889
0.6,0,7.331,1,5.978,2090
0.6,0,7.738,1,6.111,4675
0.6,0,7.707,0,7.707,6780
0.6,1,6.744,1,6.744,2763
0.6,1,7.436,0,7.241,11792
0.6,1,7.339,0,7.006,2854
0.6,0,7.025,0,7.025,6107
0.6,0,6.623,1,4.631,19281
0.6,1,7.148,1,7.148,1924
0.6,1,6.885,1,6.885,4439
0.6,0,6.959,0,6.959,3597
0.6,0,8.002,0,8.002,3034
0.6,0,7.611,0,7.611,1359
0.6,1,8.744,0,7.022,3643
0.6,1,8.142,0,7.059,5212
0.6,1,8.864,0,5.513,3229
0.6,0,9.001,0,9.001,1958
0.6,1,8.646,1,8.646,3117
0.6,1,7.208,1,7.208,4925
0.6,0,7.6,0,7.6,4421
0.6,1,8.578,1,8.578,4683
0.6,0,8.076,1,7.554,5373
0.6,1,7.148,0,6.191,1195
0.6,1,7.069,1,7.069,3506
0.6,0,6.745,1,6.563,2968
0.6,1,6.346,1,6.346,2644
0.6,0,6.053,1,5.728,1822
0.6,0,7.748,0,7.748,1794
0.6,1,6.358,0,5.843,3839
0.6,1,5.491,1,5.491,1623
0.6,1,6.05,1,6.05,12104
0.6,1,8.366,0,7.873,21343
0.6,0,7.512,0,7.512,21475
0.6,1,7.293,0,5.711,7493
0.6,0,6.58,1,6.261,4152
0.6,1,7.781,0,6.531,2911
0.6,1,6.294,1,6.294,2767
0.6,0,7.436,0,7.436,1069
0.6,1,8.967,1,8.967,2587
0.6,1,6.989,0,6.288,1645
0.6,0,9.58,1,8.695,10863
0.6,0,8.747,0,8.747,10061
0.6,0,7.408,0,7.408,28020
0.6,1,7.768,1,7.768,7105
0.6,1,7.75,1,7.75,6159
0.6,0,6.63,1,6.603,4345
0.6,1,6.759,0,6.066,4523
0.6,1,7.699,1,7.699,6402
0.6,0,8.36,1,7.817,1900
0.6,1,6.904,1,6.904,11973
0.6,0,8.587,0,8.587,2228
0.6,0,7.633,1,5.762,6722
0.6,1,8.283,0,6.972,9599
0.6,1,7.374,1,7.374,3259
