$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
0.9,2,8.631,0,7.684,38526
0.9,3,7.566,0,7.021,32294
0.9,1,9.164,2,5.801,74587
0.9,0,8.624,4,7.154,38836
0.9,2,9.003,0,7.141,33277
0.9,0,8.449,4,5.667,20034
0.9,0,6.933,0,6.933,42645
0.9,3,7.981,2,6.983,80702
0.9,4,8.226,4,8.226,15532
0.9,1,7.679,1,7.679,123857
0.9,3,7.308,0,5.48,86670
0.9,2,7.376,3,7.26,62213
0.9,4,8.306,3,6.752,52481
0.9,4,8.007,0,7.837,31164
0.9,1,8.605,0,7.77,15511
0.9,1,7.747,2,5.652,60954
0.9,4,8.235,1,8.137,18736
0.9,0,7.257,4,6.89,33799
0.9,3,6.516,4,6.225,36733
0.9,1,7.757,3,7.565,37809
0.9,1,8.032,4,7.578,25225
0.9,3,8.918,0,7.267,49996
0.9,2,7.99,3,7.869,16292
0.9,2,7.744,2,7.744,67374
0.9,2,7.677,3,7.534,51288
0.9,2,8.807,0,7.714,79232
0.9,4,9.218,4,9.218,43204
0.9,0,9.172,0,9.172,46958
0.9,2,8.784,1,6.966,88370
0.9,2,8.504,2,8.504,67325
0.9,2,8.032,4,6.711,39353
0.9,2,7.596,4,7.363,47255
0.9,1,8.902,1,8.902,13112
0.9,4,8.292,3,7.239,27777
0.9,3,7.705,0,5.779,66033
0.9,1,8.334,3,7.563,53172
0.9,1,7.749,0,6.656,40392
0.9,4,8.272,1,8.032,23785
0.9,2,7.337,2,7.337,31641
0.9,3,8.088,4,7.968,38691
0.9,1,9.79,1,9.79,35812
0.9,2,8.531,0,6.954,37213
0.9,0,8.123,3,7.233,80655
0.9,1,7.294,0,6.561,35750
0.9,1,7.546,4,5.925,20810
0.9,4,7.116,1,6.674,16361
0.9,0,9.394,3,5.864,25666
0.9,4,8.591,0,8.037,33240
0.9,2,8.259,0,7.851,49334
0.9,3,8.918,2,8.041,28542
0.9,0,9.7,4,6.739,18227
0.9,2,7.649,0,5.613,70251
0.9,4,8.54,2,7.033,28856
0.9,2,7.889,0,7.011,35071
0.9,4,7.617,4,7.617,14855
0.9,3,7.559,1,7.238,21552
0.9,4,7.238,4,7.238,38030
0.9,0,7.736,2,6.936,51489
0.9,0,8.636,0,8.636,29552
0.9,0,9.059,2,8.022,71817
0.9,1,7.905,2,6.782,42913
0.9,3,8.141,4,7.046,36241
0.9,4,8.59,3,7.45,15864
0.9,1,8.978,2,7.882,14022
0.9,3,7.574,4,7.373,69409
0.9,2,9.021,1,6.718,72817
0.9,1,7.937,2,6.368,109089
0.9,3,7.793,4,6.407,41537
0.9,0,8.331,0,8.331,27380
0.9,3,9.195,1,4.614,24757
0.9,1,8.681,0,5.376,183798
0.9,3,8.865,3,8.865,47383
0.9,4,7.219,3,6.847,34702
0.9,2,8.496,4,5.293,27301
0.9,1,7.674,4,7.058,88583
0.9,2,7.232,0,5.282,19492
0.9,4,7.266,2,7.22,33487
0.9,3,8.049,4,5.798,113004
0.9,1,8.167,2,5.809,19669
0.9,4,7.383,2,6.237,13919
0.9,3,9.203,4,7.47,27132
0.9,2,7.98,3,6.333,56344
0.9,3,8.337,4,5.194,53691
0.9,1,7.298,1,7.298,47041
0.9,3,8.263,4,5.842,23733
0.9,1,9.731,1,9.731,55701
0.9,4,7.884,3,7.294,60192
0.9,1,9.107,1,9.107,44797
0.9,4,8.488,4,8.488,63224
0.9,3,9.165,4,6.504,61648
0.9,4,7.24,3,5.588,30766
0.9,1,9.014,2,6.848,26936
0.9,1,7.977,4,6.142,142456
0.9,3,7.429,2,5.987,36352
0.9,2,8.74,1,8.061,86068
0.9,3,8.093,2,4.788,57091
0.9,3,8.748,0,7.498,41517
0.9,1,7.392,0,6.932,24168
0.9,4,7.709,4,7.709,126844
0.9,1,8.527,1,8.527,62487
