$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
4.6,0,7.996,0,7.996,2839
4.6,0,8.314,0,8.314,2127
4.6,2,6.632,2,6.632,14071
4.6,1,8.685,2,7.328,21577
4.6,1,7.616,1,7.616,4559
4.6,2,8.432,2,8.432,14195
4.6,0,8.405,2,7.438,9183
4.6,2,9.576,1,8.984,13626
4.6,1,7.536,1,7.536,5994
4.6,0,7.092,1,6.229,13324
4.6,1,8.752,2,7.096,4932
4.6,2,7.161,2,7.161,10601
4.6,0,7.725,2,6.643,9264
4.6,0,7.945,0,7.945,6956
4.6,0,9.059,0,9.059,4673
4.6,2,7.772,0,7.406,26065
4.6,2,8.26,0,7.356,40034
4.6,2,7.02,2,7.02,14390
4.6,1,7.451,1,7.451,23846
4.6,1,8.328,0,6.577,23481
4.6,0,8.147,1,5.613,19706
4.6,1,10.65,0,7.992,10836
4.6,2,8.505,0,7.046,17809
4.6,2,7.004,0,6.712,8731
4.6,2,7.588,2,7.588,51449
4.6,1,8.534,2,5.607,5194
4.6,0,7.477,0,7.477,17910
4.6,1,8.441,0,6.282,7706
4.6,2,8.933,0,7.146,11400
4.6,2,8.765,0,7.832,6964
4.6,1,8.455,2,7.809,9077
4.6,2,7.192,2,7.192,9942
4.6,2,7.708,0,6.285,28421
4.6,0,8.502,2,4.897,13880
4.6,0,8.322,0,8.322,8182
4.6,0,7.927,2,5.217,15088
4.6,0,7.004,0,7.004,7074
4.6,1,7.137,1,7.137,4857
4.6,1,7.864,1,7.864,14690
4.6,2,6.047,2,6.047,8026
4.6,2,8.655,0,6.041,6121
4.6,2,9.381,2,9.381,10489
4.6,2,7.659,2,7.659,33584
4.6,2,8.21,1,5.758,14429
4.6,1,8.432,0,8.384,12397
4.6,0,9.838,2,8.209,13143
4.6,1,8.291,0,5.34,17711
4.6,1,7.768,2,5.231,13049
4.6,1,7.641,2,6.462,6201
4.6,1,7.906,1,7.906,37841
4.6,1,8.951,2,7.299,33316
4.6,2,7.492,0,6.854,29223
4.6,1,7.202,2,6.437,6607
4.6,0,7.896,0,7.896,18996
4.6,1,8.61,2,8.466,11581
4.6,2,8.278,0,7.159,5285
4.6,1,7.775,2,5.761,10786
4.6,0,7.818,1,6.916,29605
4.6,0,8.017,1,7.481,5191
4.6,1,7.852,1,7.852,7932
4.6,0,8.395,1,8.186,13783
4.6,2,8.144,0,7.531,8362
4.6,1,8.069,1,8.069,47446
4.6,1,8.507,0,6.683,31442
4.6,1,7.318,0,6.967,19450
4.6,2,7.443,1,4.817,6475
4.6,0,8.126,2,7.609,18284
4.6,0,6.062,0,6.062,7055
4.6,0,9.52,0,9.52,25951
4.6,0,6.846,0,6.846,22527
4.6,0,7.363,2,7.058,8524
4.6,1,7.433,0,6.998,8156
4.6,1,8.263,1,8.263,7870
4.6,2,7.911,1,6.553,11278
4.6,0,8.137,2,6.14,5593
4.6,2,8.727,2,8.727,39473
4.6,1,9.99,1,9.99,5736
4.6,2,8.941,1,7.335,27920
4.6,1,8.504,0,6.127,23416
4.6,2,8.605,0,6.739,10378
4.6,2,7.664,2,7.664,41605
4.6,2,7.449,0,6.758,5644
4.6,2,8.532,1,5.712,6661
4.6,2,7.287,1,7.126,11913
4.6,2,9.663,0,7.556,14774
4.6,0,7.025,0,7.025,43703
4.6,0,7.148,1,7.008,17848
4.6,2,8.749,0,8.486,37464
4.6,1,8.872,1,8.872,42143
4.6,1,8.413,1,8.413,12707
4.6,2,7.946,2,7.946,11722
4.6,2,7.453,0,7.013,57751
4.6,1,9.27,1,9.27,27104
4.6,2,6.775,1,5.735,9797
4.6,0,7.959,2,7.21,11868
4.6,1,7.766,0,4.672,8090
4.6,2,8.263,0,7.118,20293
4.6,1,8.045,2,5.203,10390
4.6,0,6.842,2,5.892,27002
4.6,2,7.915,2,7.915,13398
