$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate,Average p-value,Wrong_ranking_cost_without_no_proportion
0.0,0.0,8.5,8.5,0.502,1.0,0.5
0.0,0.0,8.6,8.6,0.472,1.0,0.5
0.0,0.0,8.7,8.7,0.496,1.0,0.5
0.0,0.0,8.8,8.8,0.512,1.0,0.5
0.0,0.0,8.9,8.9,0.526,1.0,0.499
0.0,0.0,9.0,9.0,0.498,1.0,0.5
0.0,0.0,9.1,9.1,0.518,1.0,0.5
0.0,0.0,9.2,9.2,0.496,1.0,0.5
0.0,0.0,9.3,9.3,0.476,1.0,0.5
0.0,0.0,9.4,9.4,0.438,1.0,0.5
0.0,0.0,9.5,9.5,0.524,1.0,0.5
0.0,0.0,9.6,9.6,0.486,1.0,0.5
0.0,0.0,9.7,9.7,0.448,1.0,0.5
0.0,0.0,9.8,9.8,0.438,1.0,0.499
0.0,0.0,9.9,9.9,0.532,1.0,0.5
0.0,0.0,10.0,10.0,0.504,1.0,0.5
0.0,0.0,10.1,10.1,0.488,1.0,0.5
0.0,0.0,10.2,10.2,0.508,1.0,0.5
0.0,0.0,10.3,10.3,0.494,1.0,0.499
0.0,0.0,10.4,10.4,0.534,1.0,0.499
0.0,0.0,10.5,10.5,0.506,1.0,0.5
0.0,0.0,10.6,10.6,0.508,1.0,0.5
0.0,0.0,10.7,10.7,0.516,1.0,0.5
0.0,0.0,10.8,10.8,0.482,1.0,0.5
0.0,0.0,10.9,10.9,0.57,1.0,0.5
0.0,0.0,11.0,11.0,0.5,1.0,0.5
0.0,0.0,11.1,11.1,0.524,1.0,0.5
0.0,0.0,11.2,11.2,0.478,1.0,0.499
0.0,0.0,11.3,11.3,0.498,1.0,0.5
0.0,0.0,11.4,11.4,0.478,1.0,0.5
0.0,0.0,11.5,11.5,0.498,1.0,0.5
0.0,0.0,11.6,11.6,0.5,1.0,0.5
0.0,0.0,11.7,11.7,0.538,1.0,0.5
0.0,0.0,11.8,11.8,0.486,1.0,0.499
0.0,0.0,11.9,11.9,0.468,1.0,0.5
0.0,0.0,12.0,12.0,0.498,1.0,0.5
0.0,0.0,12.1,12.1,0.504,1.0,0.5
0.0,0.0,12.2,12.2,0.52,1.0,0.5
0.0,0.0,12.3,12.3,0.462,1.0,0.5
0.0,0.0,12.4,12.4,0.514,1.0,0.499
0.0,0.0,12.5,12.5,0.512,1.0,0.5
0.0,0.0,12.6,12.6,0.512,1.0,0.5
0.0,0.0,12.7,12.7,0.484,1.0,0.5
0.0,0.0,12.8,12.8,0.502,1.0,0.5
0.0,0.0,12.9,12.9,0.452,1.0,0.5
0.0,0.0,13.0,13.0,0.5,1.0,0.5
0.0,0.0,13.1,13.1,0.512,1.0,0.499
0.0,0.0,13.2,13.2,0.504,1.0,0.5
0.0,0.0,13.3,13.3,0.528,1.0,0.5
0.0,0.0,13.4,13.4,0.484,1.0,0.5
0.0,0.0,13.5,13.5,0.54,1.0,0.5
0.0,0.0,13.6,13.6,0.516,1.0,0.5
0.0,0.0,13.7,13.7,0.494,1.0,0.5
0.0,0.0,13.8,13.8,0.528,1.0,0.5
0.0,0.0,13.9,13.9,0.484,1.0,0.5
0.0,0.0,14.0,14.0,0.51,1.0,0.5
0.0,0.0,14.1,14.1,0.494,1.0,0.5
0.0,0.0,14.2,14.2,0.51,1.0,0.5
0.0,0.0,14.3,14.3,0.52,1.0,0.5
0.0,0.0,14.4,14.4,0.508,1.0,0.5
0.0,0.0,14.5,14.5,0.48,1.0,0.5
0.0,0.0,14.6,14.6,0.526,1.0,0.5
0.0,0.0,14.7,14.7,0.476,1.0,0.5
0.0,0.0,14.8,14.8,0.466,1.0,0.5
0.0,0.0,14.9,14.9,0.478,1.0,0.5
0.0,0.0,15.0,15.0,0.526,1.0,0.499
0.1,0.1,0.0,0.0,0.98,0.038197031823690775,0.019
0.1,0.1,0.1,0.1,0.99,0.020139329465613618,0.009
0.1,0.1,0.2,0.2,0.984,0.032894130087091994,0.016
0.1,0.1,0.3,0.3,0.99,0.026118422324376882,0.01
0.1,0.1,0.4,0.4,0.986,0.02271388129809583,0.014
0.1,0.1,0.5,0.5,0.988,0.021481560587525258,0.013
0.1,0.1,0.6,0.6,0.982,0.03468266296775716,0.02
0.1,0.1,0.7,0.7,0.982,0.036052644305584865,0.018
0.1,0.1,0.8,0.8,0.988,0.027754797633487857,0.012
0.1,0.1,0.9,0.9,0.994,0.03523201517558429,0.006
0.1,0.1,1.0,1.0,0.976,0.04121266686890509,0.025
0.1,0.1,1.1,1.1,0.98,0.03889456881117351,0.02
0.1,0.1,1.2,1.2,0.982,0.04063561213092823,0.019
0.1,0.1,1.3,1.3,0.982,0.048523141318050717,0.021
0.1,0.1,1.4,1.4,0.986,0.039868882492799594,0.017
0.1,0.1,1.5,1.5,0.978,0.04222528851728907,0.022
0.1,0.1,1.6,1.6,0.982,0.040664456744148265,0.016
0.1,0.1,1.7,1.7,0.978,0.046620919414956746,0.02
0.1,0.1,1.8,1.8,0.97,0.0649833630753368,0.029
0.1,0.1,1.9,1.9,0.97,0.052579966208496184,0.029
0.1,0.1,2.0,2.0,0.968,0.07101378824825476,0.031
0.1,0.1,2.1,2.1,0.98,0.06711582214251885,0.024
0.1,0.1,2.2,2.2,0.968,0.08338107776613884,0.038
0.1,0.1,2.3,2.3,0.95,0.109111588971381,0.054
0.1,0.1,2.4,2.4,0.928,0.14679376166948455,0.066
0.1,0.1,2.5,2.5,0.938,0.10732824947653619,0.053
0.1,0.1,2.6,2.6,0.902,0.1821706714055767,0.094
0.1,0.1,2.7,2.7,0.926,0.14495096399585894,0.074
0.1,0.1,2.8,2.8,0.892,0.2007840332230782,0.1
0.1,0.1,2.9,2.9,0.906,0.21366890327125979,0.094
0.1,0.1,3.0,3.0,0.894,0.241446994805219,0.108
0.1,0.1,3.1,3.1,0.868,0.26774129369442096,0.13
0.1,0.1,3.2,3.2,0.86,0.2944478574748998,0.146
0.1,0.1,3.3,3.3,0.84,0.32986183487570453,0.155
0.1,0.1,3.4,3.4,0.82,0.38157931706950016,0.179
0.1,0.1,3.5,3.5,0.828,0.3991099147578857,0.194
0.1,0.1,3.6,3.6,0.782,0.4731834333124689,0.222
0.1,0.1,3.7,3.7,0.768,0.48954809146390404,0.237
0.1,0.1,3.8,3.8,0.732,0.5618917796214329,0.269
0.1,0.1,3.9,3.9,0.702,0.5822516951654233,0.274
0.1,0.1,4.0,4.0,0.71,0.6244772066102716,0.303
0.1,0.1,4.1,4.1,0.704,0.6360532987677439,0.291
0.1,0.1,4.2,4.2,0.656,0.7126790877054798,0.354
0.1,0.1,4.3,4.3,0.638,0.7457582419784934,0.35
0.1,0.1,4.4,4.4,0.652,0.7215796303322649,0.342
0.1,0.1,4.5,4.5,0.598,0.7853772806188527,0.383
0.1,0.1,4.6,4.6,0.572,0.8164990755534344,0.4
0.1,0.1,4.7,4.7,0.596,0.8561908345522958,0.411
0.1,0.1,4.8,4.8,0.552,0.8654354459574077,0.424
0.1,0.1,4.9,4.9,0.604,0.8782768368643202,0.425
0.1,0.1,5.0,5.0,0.592,0.9156747826069866,0.447
0.1,0.1,5.1,5.1,0.512,0.923377074277321,0.453
0.1,0.1,5.2,5.2,0.538,0.9294665766216734,0.456
