n,$\mu_{m_1}$,$\sigma_{m_1}$,$\mu_{h_{pred}}$,$\sigma_{h_{pred}}$,$\mu_{h_1}$,$\sigma_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,no:yes
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,7.848,0,7.848,2445,3.798480607756897
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,10.155,2,10.155,1119,1.8567007855272555
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,8.522,1,7.5,11483,0.4999375078115235
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,8.705,2,8.705,912,1.8567007855272555
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,8.567,0,8.56,12146,0.4457294301891338
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,7.869,1,7.869,457,3.136849362288866
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,7.914,2,7.514,12567,1.8567007855272555
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.367,1,8.367,4629,1.0687812446129978
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.424,2,7.471,3769,1.0337230977800373
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.348,1,8.348,586,2.242637125101324
3,40,0,7.570799999998902,0.6789800056229955,7.5535499999999995,0.6801068483775794,2,8.27,0,8.055,5011,0.714183688044565
3,40,0,7.570799999998902,0.6789800056229955,7.5535499999999995,0.6801068483775794,0,9.422,0,9.422,297,1.9995001249687578
3,40,0,7.570799999998902,0.6789800056229955,7.5535499999999995,0.6801068483775794,0,8.733,0,8.733,912,1.6662963785825373
3,40,0,7.570799999998902,0.6789800056229955,7.5535499999999995,0.6801068483775794,2,5.974,2,5.974,407,58.70646766169155
3,40,0,7.570799999998902,0.6789800056229955,7.5535499999999995,0.6801068483775794,0,7.639,0,7.639,14220,1.0687812446129978
3,40,0,7.570799999998902,0.6789800056229955,7.5535499999999995,0.6801068483775794,1,8.207,0,7.497,21948,0.558369042981431
3,40,0,7.570799999998902,0.6789800056229955,7.5535499999999995,0.6801068483775794,2,7.796,1,6.901,5107,2.1573270192054723
3,40,0,7.570799999998902,0.6789800056229955,7.5535499999999995,0.6801068483775794,1,7.426,1,7.426,1956,4.4525215810995
3,40,0,7.570799999998902,0.6789800056229955,7.5535499999999995,0.6801068483775794,0,7.747,0,7.747,10230,2.6355649803089976
3,40,0,7.570799999998902,0.6789800056229955,7.5535499999999995,0.6801068483775794,0,7.307,0,7.307,10046,3.443169196593854
2,60,0,7.1,0.6557359594276456,7.541883333333329,0.6582935691994107,0,8.221,0,8.221,2058,0.6215376300499932
2,60,0,7.1,0.6557359594276456,7.541883333333329,0.6582935691994107,0,7.49,1,6.82,5990,2.8700419219606577
2,60,0,7.1,0.6557359594276456,7.541883333333329,0.6582935691994107,0,7.478,0,7.478,331,3.798480607756897
2,60,0,7.1,0.6557359594276456,7.541883333333329,0.6582935691994107,1,7.548,1,7.548,5020,2.33268536517634
2,60,0,7.1,0.6557359594276456,7.541883333333329,0.6582935691994107,1,7.6,1,7.6,1241,2.242637125101324
2,60,0,7.1,0.6557359594276456,7.541883333333329,0.6582935691994107,0,8.24,0,8.24,2387,0.4633581270576759
2,60,0,7.1,0.6557359594276456,7.541883333333329,0.6582935691994107,1,,,,0,12000.0
2,60,0,7.1,0.6557359594276456,7.541883333333329,0.6582935691994107,0,8.768,0,8.768,843,0.8460236886632825
2,60,0,7.1,0.6557359594276456,7.541883333333329,0.6582935691994107,0,7.651,0,7.651,1196,2.242637125101324
2,60,0,7.1,0.6557359594276456,7.541883333333329,0.6582935691994107,0,7.917,0,7.917,352,1.8567007855272555
1,120,0,3.6948000000065804,0.6160000000000001,7.530216666666667,0.6365983679470351,0,6.163,0,6.163,352,38.87043189368771
1,120,0,3.6948000000065804,0.6160000000000001,7.530216666666667,0.6365983679470351,0,8.197,0,8.197,192,0.142843538710599
1,120,0,3.6948000000065804,0.6160000000000001,7.530216666666667,0.6365983679470351,0,6.2,0,6.2,475,38.87043189368771
1,120,0,3.6948000000065804,0.6160000000000001,7.530216666666667,0.6365983679470351,0,5.721,0,5.721,466,117.82178217821782
1,120,0,3.6948000000065804,0.6160000000000001,7.530216666666667,0.6365983679470351,0,5.698,0,5.698,450,117.82178217821782
1,120,0,3.6948000000065804,0.6160000000000001,7.530216666666667,0.6365983679470351,0,8.177,0,8.177,140,0.15383136236900297
1,120,0,3.6948000000065804,0.6160000000000001,7.530216666666667,0.6365983679470351,0,6.017,0,6.017,573,38.87043189368771
1,120,0,3.6948000000065804,0.6160000000000001,7.530216666666667,0.6365983679470351,0,,,,0,12000.0
1,120,0,3.6948000000065804,0.6160000000000001,7.530216666666667,0.6365983679470351,0,5.923,0,5.923,479,117.82178217821782
1,120,0,3.6948000000065804,0.6160000000000001,7.530216666666667,0.6365983679470351,0,6.46,0,6.46,488,18.96838602329451
