n,$\mu_{m_1}$,$\sigma_{m_1}$,$\mu_{h_{pred}}$,$\sigma_{h_{pred}}$,$\mu_{h_1}$,$\sigma_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,no:yes
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,7.719,1,7.719,362,2.9990003332222592
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,,,,0,12000.0
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,7.542,1,7.542,10263,2.242637125101324
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,7.423,2,7.423,4069,4.4525215810995
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,6.437,2,6.358,449,58.70646766169155
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,7.781,1,7.781,2800,3.613994617454825
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.549,1,8.549,5242,0.7909267273541262
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,7.498,0,7.498,2692,4.215558452846588
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.439,1,8.439,4196,2.0763906690592155
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,7.672,0,7.672,325,4.712041884816753
2,60,0,7.1,0.6557359594276456,7.541817674624614,0.6094668099654087,0,8.834,0,8.834,317,1.1050692860901596
2,60,0,7.1,0.6557359594276456,7.541817674624614,0.6094668099654087,0,8.596,1,7.922,14660,0.1999800019998
2,60,0,7.1,0.6557359594276456,7.541817674624614,0.6094668099654087,1,7.172,1,7.172,474,6.495940037476577
2,60,0,7.1,0.6557359594276456,7.541817674624614,0.6094668099654087,0,6.279,0,6.279,27248,28.92768079800499
2,60,0,7.1,0.6557359594276456,7.541817674624614,0.6094668099654087,0,8.445,0,8.445,479,1.142653097661132
2,60,0,7.1,0.6557359594276456,7.541817674624614,0.6094668099654087,1,10.286,0,7.694,22355,0.1999800019998
2,60,0,7.1,0.6557359594276456,7.541817674624614,0.6094668099654087,0,9.577,0,9.577,494,0.9998333611064822
2,60,0,7.1,0.6557359594276456,7.541817674624614,0.6094668099654087,1,8.184,1,8.184,4622,0.3332963004110654
2,60,0,7.1,0.6557359594276456,7.541817674624614,0.6094668099654087,0,6.613,0,6.613,471,28.92768079800499
2,60,0,7.1,0.6557359594276456,7.541817674624614,0.6094668099654087,0,7.736,0,7.736,8676,0.9046183145532456
3,40,0,7.570799999998902,0.6789800056229955,7.526012044775921,0.5968868362464025,1,7.166,1,7.166,1515,5.31299316149395
3,40,0,7.570799999998902,0.6789800056229955,7.526012044775921,0.5968868362464025,0,7.809,0,7.809,679,3.798480607756897
3,40,0,7.570799999998902,0.6789800056229955,7.526012044775921,0.5968868362464025,0,8.266,0,8.266,591,2.242637125101324
3,40,0,7.570799999998902,0.6789800056229955,7.526012044775921,0.5968868362464025,1,7.787,1,7.787,2790,2.8700419219606577
3,40,0,7.570799999998902,0.6789800056229955,7.526012044775921,0.5968868362464025,2,7.777,2,7.777,379,2.8700419219606577
3,40,0,7.570799999998902,0.6789800056229955,7.526012044775921,0.5968868362464025,0,8.119,0,8.119,4237,2.6355649803089976
3,40,0,7.570799999998902,0.6789800056229955,7.526012044775921,0.5968868362464025,0,6.845,2,6.791,2952,22.954091816367267
3,40,0,7.570799999998902,0.6789800056229955,7.526012044775921,0.5968868362464025,0,8.448,2,7.62,4473,0.37926675094816686
3,40,0,7.570799999998902,0.6789800056229955,7.526012044775921,0.5968868362464025,1,7.964,1,7.964,3796,2.1573270192054723
3,40,0,7.570799999998902,0.6789800056229955,7.526012044775921,0.5968868362464025,2,7.802,1,6.993,15965,1.1816033448463916
4,30,0,7.8384999999982785,0.6954719188552911,7.50945244667326,0.5847450495308041,1,8.117,2,8.022,16731,1.1816033448463916
4,30,0,7.8384999999982785,0.6954719188552911,7.50945244667326,0.5847450495308041,3,7.522,3,7.522,490,6.0552616108171655
4,30,0,7.8384999999982785,0.6954719188552911,7.50945244667326,0.5847450495308041,0,7.777,0,7.777,827,3.613994617454825
4,30,0,7.8384999999982785,0.6954719188552911,7.50945244667326,0.5847450495308041,2,7.519,2,7.519,1880,4.712041884816753
4,30,0,7.8384999999982785,0.6954719188552911,7.50945244667326,0.5847450495308041,2,7.931,2,7.931,4025,0.7909267273541262
4,30,0,7.8384999999982785,0.6954719188552911,7.50945244667326,0.5847450495308041,0,7.853,0,7.853,4338,3.798480607756897
4,30,0,7.8384999999982785,0.6954719188552911,7.50945244667326,0.5847450495308041,2,7.522,2,7.522,1994,3.798480607756897
4,30,0,7.8384999999982785,0.6954719188552911,7.50945244667326,0.5847450495308041,0,9.9,0,9.9,11571,0.3186463026041094
