$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,No_units
2,7.123,2,7.123,63391,95.0
3,8.629,4,6.513,17709,95.0
4,7.908,1,6.925,99714,95.0
4,8.709,1,7.094,38496,95.0
0,8.136,1,8.111,25979,95.0
4,9.305,1,7.862,63424,95.0
4,7.589,1,7.024,48077,95.0
0,7.606,2,7.154,86281,95.0
3,8.172,1,7.141,24187,95.0
3,8.013,0,6.794,88691,95.0
3,7.454,1,7.191,82344,95.0
4,7.332,3,7.233,22273,95.0
0,7.942,3,7.217,74841,95.0
2,8.228,2,8.228,28683,95.0
4,8.008,4,8.008,23370,95.0
3,8.393,1,6.534,29777,95.0
1,7.445,1,7.445,67550,95.0
0,8.508,0,8.508,32196,95.0
1,8.557,4,7.777,21166,95.0
0,7.592,3,7.56,13322,95.0
4,7.646,2,6.404,85226,95.0
0,7.708,2,7.169,83265,95.0
0,7.517,4,7.041,34921,95.0
1,9.251,1,9.251,38393,95.0
1,7.943,4,5.884,22419,95.0
3,9.156,0,7.818,65652,95.0
2,8.067,3,7.586,12465,95.0
4,7.334,3,6.5,21243,95.0
1,9.329,4,8.254,44950,95.0
3,7.904,1,7.709,52789,95.0
0,7.617,1,4.681,35477,95.0
1,8.886,1,8.886,54464,95.0
0,7.616,2,5.004,41113,95.0
4,8.665,3,3.563,76031,95.0
4,8.506,2,8.108,60195,95.0
2,7.735,1,6.714,13551,95.0
2,9.915,2,9.915,61739,95.0
4,7.75,3,5.657,20029,95.0
1,8.007,2,7.018,26080,95.0
1,7.786,2,5.879,36866,95.0
0,8.906,3,6.274,48212,95.0
1,7.2,1,7.2,49942,95.0
2,8.787,2,8.787,31745,95.0
3,7.622,2,7.076,92875,95.0
1,7.023,3,6.557,93031,95.0
3,8.769,4,5.698,136915,95.0
0,7.369,1,6.848,24275,95.0
3,8.87,0,7.055,64464,95.0
3,8.816,3,8.816,15007,95.0
2,7.718,4,7.337,65774,95.0
3,7.827,3,7.827,29949,95.0
0,7.143,0,7.143,40505,95.0
0,8.477,2,6.61,53975,95.0
4,9.007,4,9.007,15001,95.0
3,8.477,0,7.751,22418,95.0
0,7.477,3,6.689,17389,95.0
4,8.616,0,7.935,23939,95.0
1,8.5,1,8.5,49877,95.0
1,7.799,1,7.799,31789,95.0
3,8.589,4,7.412,20977,95.0
0,7.758,3,6.455,18237,95.0
3,8.572,1,7.6,31063,95.0
0,7.27,0,7.27,69797,95.0
0,7.97,3,5.964,41324,95.0
4,7.884,2,6.631,68558,95.0
0,8.455,0,8.455,62807,95.0
1,8.826,2,7.821,155396,95.0
0,8.132,0,8.132,28306,95.0
0,8.339,0,8.339,99430,95.0
1,8.752,1,8.752,56012,95.0
