$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,No_units
1,8.86,4,8.316,25058,95.0
2,7.787,2,7.787,63646,95.0
2,7.675,3,6.222,16331,95.0
1,9.032,3,6.121,15904,95.0
4,8.61,2,7.252,45645,95.0
3,8.254,1,6.557,38446,95.0
0,8.552,0,8.552,32721,95.0
1,8.079,3,8.01,42187,95.0
2,7.528,0,6.31,17530,95.0
2,7.442,2,7.442,57988,95.0
2,7.642,2,7.642,27586,145.0
1,8.06,2,7.262,126270,145.0
1,8.699,1,8.699,103406,145.0
3,7.428,1,7.119,49192,145.0
4,7.556,0,6.045,80568,145.0
1,8.483,3,7.709,66784,145.0
3,8.19,2,6.512,149683,145.0
1,9.979,0,6.72,36587,145.0
2,8.672,0,7.313,57939,145.0
1,8.074,3,6.037,194833,145.0
0,9.053,0,9.053,58035,195.0
4,7.559,1,6.172,232677,195.0
4,7.223,2,6.059,172499,195.0
3,7.451,0,4.944,94111,195.0
3,7.133,1,5.642,51297,195.0
2,7.037,3,6.232,93512,195.0
3,8.144,4,5.261,176749,195.0
0,8.243,2,7.59,32416,195.0
4,8.169,0,6.075,36413,195.0
4,7.781,4,7.781,69901,195.0
2,8.367,4,7.907,120033,245.0
3,8.343,1,6.416,112269,245.0
2,8.689,2,8.689,334934,245.0
0,8.324,3,6.565,109777,245.0
4,8.567,2,4.76,238975,245.0
2,10.0,1,6.914,106783,245.0
0,9.448,3,6.551,126078,245.0
