$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,No_units
0,8.831,0,8.831,3130,0
1,8.51,2,7.616,12679,0
0,8.454,4,6.754,5322,0
4,8.2,4,8.2,2630,0
3,9.306,2,7.559,4628,0
0,8.688,0,8.688,9312,0
2,8.593,2,8.593,15276,0
3,6.705,3,6.705,3258,0
4,8.142,4,8.142,4322,0
3,7.249,0,6.823,8314,0
1,7.494,1,7.494,1206,0
4,7.663,4,7.663,3207,0
0,7.804,3,7.191,5662,0
3,7.92,3,7.92,8337,0
0,7.749,0,7.749,3229,0
4,8.825,4,8.825,3667,0
0,8.353,1,8.134,2197,0
3,7.321,3,7.321,12325,0
1,7.496,1,7.496,2875,0
0,8.074,4,6.657,2553,0
3,8.805,3,8.805,1749,0
4,7.342,4,7.342,10418,0
3,8.405,0,7.762,3987,0
2,10.194,4,6.352,3819,0
4,7.785,4,7.785,1130,0
2,6.94,1,6.725,7052,0
0,9.165,0,9.165,2997,0
1,9.029,1,9.029,2646,0
0,8.249,4,7.203,9271,0
0,8.035,1,6.766,5562,0
1,7.871,3,7.542,7754,0
4,7.802,2,7.138,9573,0
1,8.65,3,7.725,4061,0
3,8.225,3,8.225,3279,0
1,9.613,1,9.613,4355,0
2,9.144,2,9.144,1951,0
3,8.028,0,7.428,20233,0
4,7.65,3,7.474,5566,0
3,9.499,3,9.499,1388,0
3,7.575,1,7.344,912,0
2,8.164,2,8.164,3914,0
2,8.138,2,8.138,8603,0
0,7.89,0,7.89,2887,0
3,7.543,3,7.543,5181,0
4,8.997,3,7.478,9564,0
0,8.438,4,5.881,9379,0
4,8.123,3,7.561,3658,0
1,7.948,4,7.431,3944,0
4,7.67,2,7.563,18477,0
3,7.504,1,7.216,2197,0
2,7.728,2,7.728,2623,0
0,7.501,1,6.603,8138,0
4,8.007,2,6.699,12468,0
2,7.83,4,7.264,7615,0
1,8.354,2,7.942,3967,0
1,8.409,4,7.898,3615,0
2,8.591,2,8.591,2546,0
3,7.917,3,7.917,4155,0
2,8.515,4,7.23,5058,0
0,8.472,0,8.472,6114,0
3,7.125,4,6.864,3870,0
3,7.684,3,7.684,4101,0
0,9.177,3,8.425,3785,0
3,7.448,4,6.506,7895,0
4,8.323,4,8.323,4938,0
3,7.454,3,7.454,8414,0
1,8.072,1,8.072,3682,0
1,8.19,1,8.19,7352,0
4,7.639,4,7.639,2597,0
1,7.65,3,7.529,6076,0
3,7.886,0,7.545,6612,0
0,7.265,0,7.265,9172,0
0,9.212,4,5.565,7337,0
0,7.661,4,6.669,10556,0
3,8.636,1,6.518,7201,0
1,8.062,1,8.062,3213,0
3,7.495,2,7.312,2843,0
2,9.477,2,9.477,9903,0
2,9.238,2,9.238,6457,0
3,7.274,1,6.999,3261,0
0,8.341,2,7.891,2494,0
2,8.231,4,8.177,4992,0
4,9.207,2,6.554,8498,0
2,7.593,3,7.535,8104,0
2,6.698,3,6.605,2281,0
3,7.5,3,7.5,7440,0
0,7.384,0,7.384,8343,0
1,7.396,2,7.36,14749,0
0,8.361,1,8.003,8989,0
1,7.459,1,7.459,3888,0
2,8.837,1,7.723,12501,0
3,6.952,2,6.876,3457,0
4,9.908,4,9.908,7656,0
2,8.704,0,7.69,8239,0
2,7.731,0,7.239,5804,0
2,8.835,2,8.835,2596,0
2,8.714,4,7.537,4670,0
0,7.778,0,7.778,2453,0
