$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,No_units
4,7.106,1,6.369,50668,150.0
4,8.298,4,8.298,56429,150.0
3,8.854,1,7.196,39231,150.0
4,7.528,4,7.528,49475,150.0
2,7.981,2,7.981,9433,150.0
2,9.03,0,8.129,28468,150.0
2,7.413,4,6.983,28288,150.0
0,9.108,1,7.714,38165,150.0
4,7.645,1,6.69,19622,150.0
1,8.284,0,7.499,52137,150.0
0,7.823,0,7.823,24302,400.0
1,7.313,1,7.313,126084,400.0
2,8.821,2,8.821,41258,400.0
0,8.21,1,7.207,240855,400.0
2,9.602,4,8.183,41546,400.0
1,8.851,1,8.851,478949,400.0
2,7.824,2,7.824,274812,400.0
1,8.005,2,7.966,110247,400.0
2,8.696,4,7.991,80716,400.0
3,7.655,2,6.821,281137,400.0
2,8.237,3,6.862,409291,650.0
1,8.169,0,7.572,592953,650.0
4,7.724,4,7.724,758655,650.0
4,7.973,2,7.193,617792,650.0
0,8.146,3,7.592,639260,650.0
4,7.761,1,6.655,223447,650.0
4,8.173,4,8.173,272647,650.0
0,7.383,1,6.074,690845,650.0
1,9.605,1,9.605,224012,650.0
3,7.992,0,6.746,449050,650.0
4,7.608,1,6.056,1941752,900.0
4,8.19,1,6.761,792958,900.0
2,8.598,2,8.598,1452646,900.0
0,8.325,0,8.325,122446,900.0
0,9.038,0,9.038,579565,900.0
1,7.61,1,7.61,198199,900.0
1,7.934,1,7.934,626599,900.0
0,6.946,1,6.656,1042929,900.0
1,7.875,2,7.58,4728447,900.0
3,7.612,2,7.033,614548,900.0
1,8.707,1,8.707,520577,1150.0
0,8.067,1,7.559,776709,1150.0
0,8.323,0,8.323,835768,1150.0
2,8.263,2,8.263,263279,1150.0
4,8.708,4,8.708,512996,1150.0
3,9.273,3,9.273,460184,1150.0
0,9.375,4,6.671,668846,1150.0
1,8.435,2,7.22,1295901,1150.0
4,9.012,3,6.901,855293,1150.0
0,8.192,4,6.859,1615845,1150.0
3,7.165,2,7.004,3414839,2150.0
