$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,No_units
1,8.434,1,8.434,4859,0
1,7.186,1,7.186,3912,0
2,8.253,3,8.095,5238,0
1,7.749,1,7.749,8279,0
1,8.123,1,8.123,8842,0
3,7.515,3,7.515,5692,0
0,9.023,0,9.023,9222,0
2,8.304,3,6.789,8961,0
3,8.791,3,8.791,7341,0
0,8.536,2,6.331,8048,0
2,8.994,2,8.994,1614,0
4,7.428,1,6.669,10492,0
2,8.044,2,8.044,8618,0
3,8.221,1,5.989,5535,0
0,7.522,2,6.592,4449,0
2,8.862,2,8.862,3398,0
1,7.985,1,7.985,6502,0
2,8.238,1,7.547,3988,0
3,8.298,3,8.298,2690,0
4,8.152,4,8.152,11771,0
4,8.363,4,8.363,11788,0
3,8.517,0,7.783,3225,0
4,7.065,4,7.065,6850,0
3,7.891,4,7.743,5110,0
0,6.655,3,6.041,14760,0
3,8.014,4,7.686,15936,0
2,8.214,2,8.214,4216,0
1,9.803,2,7.115,4753,0
2,8.486,0,8.127,5916,0
3,8.467,1,8.002,8962,0
2,7.918,2,7.918,14915,0
0,8.442,4,7.521,1909,0
1,8.924,1,8.924,4863,0
4,7.738,0,6.868,7792,0
0,7.528,2,6.532,13533,0
4,7.675,0,7.244,13382,0
3,8.004,4,7.141,4973,0
0,9.162,1,7.808,14182,0
4,8.776,4,8.776,10834,0
4,8.394,4,8.394,3257,0
1,7.764,2,6.988,5735,0
4,7.167,4,7.167,7164,0
1,8.402,3,7.649,3798,0
0,7.902,0,7.902,6313,0
2,10.295,2,10.295,13183,0
1,8.16,0,7.473,5977,0
0,8.11,2,5.601,4133,0
3,7.64,0,7.247,10541,0
1,7.2,0,6.79,1290,0
3,7.274,3,7.274,7080,0
3,7.731,0,7.315,5495,0
2,8.888,2,8.888,8837,0
3,8.601,2,7.31,1692,0
3,6.86,1,6.219,8503,0
4,7.896,4,7.896,2625,0
1,7.207,1,7.207,3793,0
0,7.132,3,6.975,11127,0
2,8.215,2,8.215,4519,0
4,9.175,2,7.142,5429,0
3,6.775,0,6.54,9240,0
2,7.397,3,6.194,8444,0
1,7.453,0,7.032,7621,0
2,8.821,2,8.821,3644,0
3,9.434,1,9.03,5840,0
1,7.917,3,7.733,1882,0
4,7.534,2,6.757,3442,0
1,6.844,3,6.534,865,0
3,8.406,3,8.406,9215,0
3,8.028,3,8.028,8481,0
3,8.064,3,8.064,8472,0
2,7.36,2,7.36,1121,0
0,8.934,2,7.646,3250,0
3,9.289,3,9.289,3037,0
2,8.371,0,7.773,4016,0
2,9.425,2,9.425,1635,0
4,8.314,4,8.314,9183,0
0,8.408,0,8.408,4861,0
3,8.186,3,8.186,5523,0
0,7.45,1,7.187,3833,0
2,8.587,0,8.564,3909,0
2,6.387,4,5.887,3085,0
0,7.979,2,7.023,14978,0
4,9.049,2,8.296,2702,0
2,8.261,4,8.151,3782,0
2,8.241,0,6.231,15942,0
3,9.106,0,7.72,5621,0
1,7.777,0,6.416,12328,0
4,8.735,4,8.735,15836,0
2,8.337,0,7.736,11731,0
2,7.847,4,7.475,2688,0
3,8.035,0,7.156,6390,0
2,8.003,3,7.194,3305,0
2,8.203,3,7.724,2139,0
0,8.392,2,7.359,15441,0
0,8.001,2,6.992,3280,0
0,8.502,3,7.13,9625,0
2,9.541,2,9.541,5766,0
3,8.802,3,8.802,2834,0
4,8.844,4,8.844,6259,0
2,8.12,1,7.879,5100,0
2,8.811,2,8.811,48230,20
4,8.134,4,8.134,13152,20
2,8.126,2,8.126,42266,20
2,9.452,4,8.82,10522,20
1,9.355,1,9.355,34303,20
3,7.43,3,7.43,11139,20
4,8.469,4,8.469,16597,20
3,8.283,3,8.283,38982,20
1,9.025,1,9.025,20994,20
3,7.832,1,7.474,38224,20
1,6.833,1,6.833,28163,20
4,8.33,4,8.33,21343,20
1,7.742,0,7.444,20085,20
0,8.94,0,8.94,49293,20
3,8.517,3,8.517,14024,20
3,8.878,0,5.736,29288,20
0,8.203,0,8.203,19618,20
0,10.355,0,10.355,16904,20
0,7.936,1,7.884,15379,20
2,7.653,2,7.653,14391,20
4,6.743,1,6.593,45363,20
1,9.267,2,8.005,29416,20
1,7.96,2,5.085,17618,20
1,6.441,1,6.441,53286,20
0,8.942,3,7.044,23819,20
1,8.019,4,7.245,76205,20
4,9.005,2,7.199,35961,20
3,8.239,0,6.611,27649,20
4,7.887,4,7.887,6839,20
4,7.73,1,6.268,36903,20
1,7.812,2,6.964,24296,20
0,8.078,1,6.879,34724,20
2,7.425,1,6.161,34191,20
0,7.593,3,6.156,32963,20
4,7.734,4,7.734,55136,20
0,8.614,0,8.614,51241,20
3,7.959,3,7.959,22754,20
0,9.677,4,5.994,21989,20
1,7.9,3,7.253,40972,20
1,8.614,3,7.414,16251,20
3,7.583,3,7.583,37530,20
4,9.487,4,9.487,15209,20
4,8.029,0,7.993,15419,20
4,8.019,2,7.372,75814,20
4,7.93,2,7.855,52315,20
3,8.274,3,8.274,19228,20
1,7.357,1,7.357,65283,20
1,8.0,3,8.0,31577,20
0,9.092,0,9.092,39477,20
4,8.385,4,8.385,6856,20
