$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
9.5,2,,,,0
9.5,3,7.901,3,7.901,61365
9.5,4,8.802,4,8.802,1200
9.5,3,7.617,4,7.188,1103
9.5,4,8.201,3,7.838,7042
9.5,2,8.112,2,8.112,14928
9.5,0,8.048,0,8.048,48827
9.5,0,,,,0
9.5,4,7.923,4,7.923,6803
9.5,1,8.135,1,8.135,1015
9.5,4,8.521,4,8.521,6569
9.5,1,7.931,2,7.757,31158
9.5,4,7.967,3,7.689,10593
9.5,2,8.051,1,7.539,81689
9.5,3,7.622,0,6.5,1216
9.5,4,8.086,4,8.086,6959
9.5,4,9.345,4,9.345,15345
9.5,0,9.983,0,9.983,36220
9.5,4,8.267,4,8.267,982
9.5,3,7.942,3,7.942,4442
9.5,0,8.1,0,8.1,37793
9.5,2,7.699,3,7.66,67911
9.5,1,7.672,1,7.672,1206
9.5,3,8.522,3,8.522,28886
9.5,0,9.381,0,9.381,2072
9.5,2,8.297,2,8.297,113382
9.5,0,8.441,0,8.441,91893
9.5,2,8.177,2,8.177,939
9.5,3,8.424,3,8.424,934
9.5,1,7.896,4,7.539,34967
9.5,1,8.057,1,8.057,46363
9.5,3,9.139,3,9.139,1462
9.5,1,9.242,1,9.242,899
9.5,0,,,,0
9.5,2,8.78,2,8.78,10480
9.5,3,8.283,3,8.283,36319
9.5,3,8.105,3,8.105,925
9.5,2,7.584,2,7.584,1014
9.5,0,,,,0
9.5,2,8.881,2,8.881,67561
9.5,1,7.976,1,7.976,50833
9.5,2,9.126,2,9.126,12904
9.5,3,9.145,3,9.145,13300
9.5,3,8.262,3,8.262,1009
9.5,4,6.756,4,6.756,1233
9.5,1,8.423,1,8.423,4491
9.5,4,8.174,4,8.174,46121
9.5,2,7.518,4,7.104,2737
9.5,4,9.472,4,9.472,14598
9.5,4,8.731,3,8.001,42694
9.5,1,6.903,3,6.22,1036
9.5,1,8.154,1,8.154,1013
9.5,1,8.746,1,8.746,50797
9.5,4,9.241,4,9.241,10557
9.5,4,8.923,4,8.923,17305
9.5,2,7.773,2,7.773,4588
9.5,3,7.701,1,7.53,6266
9.5,1,7.525,1,7.525,51915
9.5,4,8.69,3,7.821,60067
9.5,1,7.447,3,7.246,39220
9.5,1,7.829,1,7.829,1251
9.5,0,7.708,0,7.708,1016
9.5,2,8.445,4,8.326,71497
9.5,1,9.164,0,8.622,55651
9.5,0,8.946,0,8.946,1296
9.5,3,9.296,3,9.296,18513
9.5,1,,,,0
9.5,1,8.518,4,7.897,21246
9.5,1,8.197,1,8.197,1061
9.5,2,8.791,2,8.791,966
9.5,3,8.25,3,8.25,11770
9.5,4,7.969,3,7.317,42883
9.5,3,8.455,3,8.455,999
9.5,3,9.034,3,9.034,1136
9.5,1,7.547,1,7.547,933
9.5,2,7.635,0,6.696,10896
9.5,4,8.138,3,7.731,54764
9.5,1,8.804,1,8.804,73117
9.5,4,8.866,4,8.866,58138
9.5,4,8.244,0,8.157,7531
9.5,0,,,,0
9.5,3,10.666,3,10.666,937
9.5,4,8.039,4,8.039,1158
9.5,2,8.12,2,8.12,22411
9.5,2,7.613,2,7.613,1010
9.5,1,7.433,1,7.433,987
9.5,1,7.826,1,7.826,968
9.5,0,7.91,0,7.91,1105
9.5,3,8.533,3,8.533,62300
9.5,1,8.758,1,8.758,868
9.5,1,8.479,2,7.511,186553
9.5,1,8.966,1,8.966,1322
9.5,4,7.938,4,7.938,65412
9.5,4,8.717,4,8.717,5059
9.5,4,8.562,4,8.562,1129
9.5,4,7.991,4,7.991,1036
9.5,1,,,,0
9.5,3,8.759,3,8.759,10480
9.5,1,8.246,4,7.929,31445
9.5,3,7.68,3,7.68,35706
