$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
7.0,1,7.448,1,7.448,9209
7.0,0,7.554,0,7.554,8699
7.0,0,6.844,0,6.844,415
7.0,1,6.473,0,6.403,12382
7.0,0,7.086,1,6.74,1206
7.0,1,6.91,1,6.91,2634
7.0,0,7.476,1,7.25,3121
7.0,1,7.656,0,6.789,3989
7.0,1,6.768,1,6.768,1669
7.0,1,7.417,1,7.417,315
7.0,0,7.151,0,7.151,3797
7.0,1,7.321,0,6.623,4960
7.0,1,7.048,1,7.048,15832
7.0,1,7.91,1,7.91,1019
7.0,0,9.387,0,9.387,571
7.0,1,8.07,1,8.07,15660
7.0,0,7.566,0,7.566,1776
7.0,1,8.894,1,8.894,891
7.0,1,8.168,1,8.168,1197
7.0,0,8.123,0,8.123,269
7.0,1,7.616,0,7.015,2306
7.0,1,6.056,0,5.841,1892
7.0,1,7.799,1,7.799,319
7.0,1,8.514,1,8.514,6526
7.0,0,6.412,0,6.412,3249
7.0,1,7.07,1,7.07,2733
7.0,0,5.941,0,5.941,400
7.0,1,9.584,1,9.584,4701
7.0,1,6.886,1,6.886,1145
7.0,0,6.629,1,5.319,6712
7.0,1,8.598,1,8.598,2102
7.0,0,9.573,0,9.573,250
7.0,0,6.975,0,6.975,9806
7.0,0,8.361,1,7.129,3940
7.0,0,7.943,0,7.943,293
7.0,0,7.371,0,7.371,3009
7.0,1,6.942,0,6.222,6739
7.0,0,8.614,0,8.614,304
7.0,0,7.905,0,7.905,4292
7.0,0,6.511,0,6.511,6555
7.0,1,8.562,1,8.562,6046
7.0,0,6.423,0,6.423,1800
7.0,0,6.537,0,6.537,5966
7.0,0,6.976,0,6.976,2377
7.0,1,6.839,0,6.537,2820
7.0,1,7.879,1,7.879,695
7.0,0,7.079,1,6.724,2904
7.0,0,7.039,0,7.039,386
7.0,0,7.488,0,7.488,1848
7.0,1,8.057,1,8.057,798
7.0,1,6.858,1,6.858,333
7.0,0,6.357,0,6.357,465
7.0,0,8.598,1,6.758,5461
7.0,0,7.132,1,6.36,4643
7.0,1,8.299,1,8.299,8978
7.0,1,6.156,1,6.156,4029
7.0,1,7.84,1,7.84,1711
7.0,1,8.596,0,7.362,4988
7.0,1,6.53,1,6.53,1811
7.0,1,7.136,0,6.988,3296
7.0,0,8.304,1,6.839,8531
7.0,0,8.971,0,8.971,1434
7.0,1,9.262,1,9.262,1204
7.0,0,8.91,0,8.91,311
7.0,1,7.892,1,7.892,838
7.0,1,6.628,1,6.628,300
7.0,0,6.579,1,6.005,7895
7.0,1,6.769,1,6.769,10226
7.0,1,7.554,1,7.554,6557
7.0,1,6.262,1,6.262,2641
7.0,0,7.183,0,7.183,395
7.0,1,7.007,1,7.007,22606
7.0,1,8.743,0,8.642,3010
7.0,0,6.406,0,6.406,330
7.0,1,6.186,1,6.186,1370
7.0,0,6.56,1,6.555,4725
7.0,0,6.386,0,6.386,12657
7.0,1,5.755,1,5.755,14000
7.0,1,8.174,1,8.174,2308
7.0,1,7.606,0,7.151,6085
7.0,0,7.81,1,6.594,8419
7.0,0,7.52,0,7.52,2082
7.0,1,8.49,0,6.83,3803
7.0,0,6.859,0,6.859,507
7.0,0,6.176,1,5.781,9328
7.0,0,7.3,0,7.3,10177
7.0,0,6.685,1,6.242,6038
7.0,1,8.002,1,8.002,2156
7.0,0,7.513,1,5.987,9645
7.0,0,7.773,0,7.773,7296
7.0,0,8.37,1,7.887,3058
7.0,1,7.211,1,7.211,2190
7.0,0,8.268,0,8.268,1071
7.0,0,8.005,0,8.005,1940
7.0,1,6.342,0,5.667,29323
7.0,0,7.333,0,7.333,1313
7.0,1,6.771,0,6.562,2352
7.0,0,7.791,0,7.791,4568
7.0,0,6.904,1,6.596,3164
7.0,0,7.112,1,6.393,3474
