nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
2,50,0.95,0.12206002794124103,0.024,
2,250,0.974,0.04806850827874197,0.004,
2,450,0.984,0.04626597735801302,0.0,
2,650,0.982,0.03156062492221199,0.0,
2,850,0.992,0.021557810163623726,0.0,
2,1050,0.988,0.01997526429071162,0.002,
2,1250,0.988,0.027873894656341984,0.004,
2,1450,0.992,0.019989137725382026,0.0,
5,50,0.86,0.22193679998105661,0.017599999999999973,
5,250,0.948,0.10890318832392971,0.004600000000000002,
5,450,0.952,0.0767042849551385,0.0014,
5,650,0.97,0.06648389166698554,0.001,
5,850,0.974,0.06028288280010064,0.0014,
5,1050,0.978,0.050441299353717196,0.0006000000000000001,
5,1250,0.972,0.04979496702942884,0.0006000000000000001,
5,1450,0.97,0.05241810543610564,0.0008,
10,50,0.774,0.31797056922991696,0.017422222222222176,
10,250,0.914,0.1570719746792922,0.0050666666666666586,
10,450,0.924,0.13223920618910345,0.002133333333333334,
10,650,0.936,0.09799188414344383,0.001288888888888889,
10,850,0.94,0.0909793535122875,0.0013333333333333333,
10,1050,0.944,0.07648380266365441,0.0009333333333333329,
10,1250,0.958,0.07028424431689725,0.0006222222222222221,
10,1450,0.966,0.05451477823714889,0.0006666666666666666,
