nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
2,50,0.924,0.1440916090576705,0.08,
2,300,0.968,0.04552864107503598,-0.004,
2,550,0.976,0.034445551643788846,0.002,
2,800,0.994,0.02883296339582008,0.01,
2,1050,0.984,0.024321491833896477,-0.01,
2,1300,0.99,0.03118185574980573,0.004,
5,50,0.886,0.2081607672771613,0.494,
5,300,0.938,0.11843312034314264,0.076,
5,550,0.96,0.07121784427571755,0.02,
5,800,0.974,0.07107934717581221,0.05,
5,1050,0.974,0.05040714872640633,-0.038,
5,1300,0.972,0.05884836824829121,0.026,
