$\sigma_{h_1}$,$\sigma_{h_2}$,$\sigma_{x_1}$,$\sigma_{x_2}$,success_rate
0.0,0.0,0.0,0.0,0.314
0.0,0.0,0.1,0.1,0.658
0.0,0.0,0.2,0.2,0.628
0.0,0.0,0.3,0.3,0.664
0.0,0.0,0.4,0.4,0.64
0.0,0.0,0.5,0.5,0.618
0.0,0.0,0.6,0.6,0.67
0.0,0.0,0.7,0.7,0.678
0.0,0.0,0.8,0.8,0.674
0.0,0.0,0.9,0.9,0.614
0.0,0.0,1.0,1.0,0.694
0.0,0.0,1.1,1.1,0.638
0.0,0.0,1.2,1.2,0.644
0.0,0.0,1.3,1.3,0.64
0.0,0.0,1.4,1.4,0.648
0.0,0.0,1.5,1.5,0.692
0.0,0.0,1.6,1.6,0.634
0.0,0.0,1.7,1.7,0.662
0.0,0.0,1.8,1.8,0.674
0.0,0.0,1.9,1.9,0.676
0.0,0.0,2.0,2.0,0.634
0.0,0.0,2.1,2.1,0.634
0.0,0.0,2.2,2.2,0.666
0.0,0.0,2.3,2.3,0.608
0.0,0.0,2.4,2.4,0.654
0.0,0.0,2.5,2.5,0.658
0.0,0.0,2.6,2.6,0.658
0.0,0.0,2.7,2.7,0.666
0.0,0.0,2.8,2.8,0.664
0.0,0.0,2.9,2.9,0.628
0.0,0.0,3.0,3.0,0.636
0.0,0.0,3.1,3.1,0.65
0.0,0.0,3.2,3.2,0.652
0.0,0.0,3.3,3.3,0.604
0.0,0.0,3.4,3.4,0.64
0.0,0.0,3.5,3.5,0.632
0.0,0.0,3.6,3.6,0.64
0.0,0.0,3.7,3.7,0.626
0.0,0.0,3.8,3.8,0.684
0.0,0.0,3.9,3.9,0.606
0.0,0.0,4.0,4.0,0.662
0.0,0.0,4.1,4.1,0.634
0.0,0.0,4.2,4.2,0.632
0.0,0.0,4.3,4.3,0.652
0.0,0.0,4.4,4.4,0.696
0.0,0.0,4.5,4.5,0.642
0.0,0.0,4.6,4.6,0.626
0.0,0.0,4.7,4.7,0.662
0.0,0.0,4.8,4.8,0.634
0.0,0.0,4.9,4.9,0.648
0.0,0.0,5.0,5.0,0.642
0.0,0.0,5.1,5.1,0.65
0.0,0.0,5.2,5.2,0.668
