$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
8.4,0,8.911,1,7.548,21585
8.4,1,7.139,2,7.125,12996
8.4,2,8.033,2,8.033,47690
8.4,1,7.733,1,7.733,23700
8.4,0,8.284,0,8.284,47605
8.4,3,6.902,1,6.707,81859
8.4,3,8.975,3,8.975,25557
8.4,4,9.519,4,9.519,28172
8.4,0,7.975,3,7.651,43553
8.4,0,8.873,0,8.873,21334
8.4,3,7.473,0,7.44,12546
8.4,0,8.433,0,8.433,61055
8.4,2,7.922,2,7.922,33768
8.4,1,8.837,1,8.837,100926
8.4,4,8.353,0,6.929,34050
8.4,4,8.819,0,7.671,26425
8.4,3,8.124,1,6.929,94988
8.4,4,8.394,4,8.394,15831
8.4,0,9.421,2,6.155,32185
8.4,1,7.48,2,6.851,34456
8.4,3,7.094,2,6.77,26013
8.4,4,8.637,1,5.812,20449
8.4,3,7.538,4,7.368,37664
8.4,3,7.163,1,6.805,13082
8.4,3,9.094,0,7.065,30979
8.4,4,7.96,0,7.506,18299
8.4,2,7.178,3,6.794,8604
8.4,0,7.662,3,7.061,14444
8.4,4,8.697,1,7.6,7611
8.4,1,7.504,0,6.066,36544
8.4,1,9.211,2,8.67,36816
8.4,2,8.845,4,7.504,25253
8.4,3,9.566,1,7.571,10826
8.4,0,6.971,3,6.9,21468
8.4,3,8.091,1,7.911,67422
8.4,2,8.757,2,8.757,56948
8.4,0,7.551,0,7.551,5158
8.4,2,7.73,3,7.35,11329
8.4,3,7.467,2,7.159,41190
8.4,0,8.64,0,8.64,34190
8.4,0,8.218,4,5.774,21631
8.4,2,7.325,2,7.325,3767
8.4,4,8.798,4,8.798,53996
8.4,0,7.712,0,7.712,17292
8.4,2,8.776,1,7.723,90134
8.4,1,7.735,1,7.735,24042
8.4,3,8.532,2,8.339,10562
8.4,0,7.146,2,5.526,93661
8.4,1,9.445,1,9.445,9135
8.4,2,8.538,2,8.538,9502
8.4,1,8.743,1,8.743,40761
8.4,1,7.992,0,7.573,81616
8.4,1,7.92,4,7.722,21312
8.4,1,7.774,1,7.774,50014
8.4,1,7.706,3,7.487,22000
8.4,3,9.034,3,9.034,20438
8.4,1,8.553,1,8.553,6175
8.4,1,6.939,1,6.939,28222
8.4,0,8.378,0,8.378,12596
8.4,3,7.977,3,7.977,40802
8.4,3,8.004,4,7.829,54200
8.4,1,7.284,2,6.37,24149
8.4,3,8.215,3,8.215,7902
8.4,4,9.321,2,6.961,14532
8.4,2,7.726,2,7.726,70177
8.4,2,8.45,3,7.259,40619
8.4,3,8.34,3,8.34,8218
8.4,2,8.733,1,8.004,35855
8.4,4,7.931,1,7.632,35280
8.4,4,8.586,3,7.885,28783
8.4,3,8.185,1,7.647,14054
8.4,0,8.172,4,7.082,61342
8.4,3,6.77,3,6.77,53098
8.4,2,6.641,0,5.875,80046
8.4,2,7.623,4,7.591,10259
8.4,1,7.038,1,7.038,21325
8.4,0,7.643,0,7.643,24145
8.4,1,8.215,4,7.677,38517
8.4,2,7.633,2,7.633,30804
8.4,0,8.202,0,8.202,11680
8.4,4,7.518,4,7.518,11946
8.4,1,8.818,3,7.301,10630
8.4,0,7.664,0,7.664,18953
8.4,0,8.623,1,7.035,14649
8.4,3,8.72,4,7.588,43425
8.4,2,7.848,2,7.848,28529
8.4,0,9.386,3,7.732,34639
8.4,0,8.48,1,7.055,28546
8.4,3,9.793,0,9.476,38633
8.4,2,7.506,2,7.506,21156
8.4,4,8.546,4,8.546,13127
8.4,2,8.265,1,7.748,27948
8.4,4,8.394,0,7.59,30355
8.4,3,8.109,0,5.71,57789
8.4,4,7.202,0,7.19,4764
8.4,4,8.87,4,8.87,18764
8.4,3,9.065,2,8.043,13733
8.4,4,10.05,0,7.742,21447
8.4,4,8.194,3,8.111,16388
8.4,3,8.473,2,7.863,47331
