$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
10.9,0,7.652,4,7.283,63540
10.9,1,8.427,0,8.159,24476
10.9,1,7.767,1,7.767,35919
10.9,0,8.12,0,8.12,21876
10.9,0,7.775,0,7.775,22336
10.9,4,8.125,4,8.125,7912
10.9,4,8.745,2,8.63,13654
10.9,0,8.436,1,6.492,17072
10.9,2,8.664,3,7.424,67508
10.9,3,7.771,4,7.586,13989
10.9,2,7.922,1,7.8,28918
10.9,4,8.79,4,8.79,14176
10.9,4,7.739,2,6.985,12774
10.9,0,9.32,3,7.583,23663
10.9,0,7.956,0,7.956,11457
10.9,4,7.894,3,7.322,41491
10.9,2,7.097,2,7.097,12273
10.9,4,8.0,1,7.717,22681
10.9,4,7.216,1,6.922,43858
10.9,1,7.607,3,6.789,26146
10.9,2,7.544,4,7.264,41022
10.9,4,7.827,0,7.762,23399
10.9,1,8.32,1,8.32,7063
10.9,1,7.896,2,7.863,9067
10.9,1,6.199,2,6.193,8958
10.9,3,9.776,3,9.776,35046
10.9,0,9.488,2,7.97,28509
10.9,0,7.138,2,7.13,6287
10.9,1,8.554,0,7.528,12873
10.9,4,7.607,0,7.585,20119
10.9,1,8.622,3,7.607,9040
10.9,0,7.404,4,6.714,24619
10.9,2,8.131,4,7.53,29647
10.9,4,8.493,0,6.747,36828
10.9,1,7.234,0,6.529,64186
10.9,3,8.087,3,8.087,17723
10.9,0,8.336,3,8.24,21681
10.9,2,9.059,1,7.393,64311
10.9,3,7.042,4,6.618,24665
10.9,3,9.588,3,9.588,12669
10.9,2,8.246,4,7.545,55898
10.9,2,8.142,2,8.142,10171
10.9,1,7.237,2,7.185,18465
10.9,0,8.565,4,8.341,7155
10.9,1,9.117,1,9.117,11655
10.9,3,7.374,4,5.555,30960
10.9,3,8.293,2,6.837,32279
10.9,1,7.672,1,7.672,26026
10.9,3,7.993,2,7.461,9575
10.9,4,8.438,4,8.438,10398
10.9,4,7.456,3,7.184,23343
10.9,0,7.619,0,7.619,26428
10.9,2,8.454,2,8.454,76117
10.9,4,8.764,0,8.486,19421
10.9,4,8.983,4,8.983,14453
10.9,4,7.905,4,7.905,20792
10.9,4,8.48,1,7.574,14506
10.9,3,8.439,3,8.439,18383
10.9,2,7.162,2,7.162,15489
10.9,4,9.042,2,7.047,33414
10.9,3,8.289,0,8.121,20115
10.9,1,8.624,4,7.774,11266
10.9,2,8.534,3,8.091,7337
10.9,3,7.605,3,7.605,72575
10.9,2,8.098,2,8.098,16705
10.9,3,8.168,2,6.767,22445
10.9,4,7.696,3,7.582,18233
10.9,0,8.652,0,8.652,44252
10.9,0,8.69,4,7.39,48532
10.9,1,8.349,4,7.9,33283
10.9,3,8.803,2,7.346,12091
10.9,3,7.501,1,6.114,53470
10.9,4,8.664,3,6.659,4795
10.9,0,8.114,0,8.114,44638
10.9,0,7.613,2,6.103,59585
10.9,0,7.862,3,7.784,44756
10.9,1,8.461,1,8.461,21643
10.9,4,8.559,3,5.908,16527
10.9,1,8.29,1,8.29,37605
10.9,3,7.534,2,7.316,8494
10.9,4,7.155,0,6.633,36515
10.9,0,7.848,0,7.848,15320
10.9,0,8.351,4,8.272,22348
10.9,3,8.297,0,7.927,77162
10.9,1,8.416,1,8.416,48403
10.9,0,8.351,0,8.351,35890
10.9,3,7.957,1,6.572,18192
10.9,3,7.777,0,7.673,13725
10.9,4,7.594,3,6.277,21877
10.9,4,8.095,0,7.827,12327
10.9,2,7.942,2,7.942,10278
10.9,4,8.631,0,8.075,22511
10.9,0,7.709,1,7.697,23624
10.9,0,8.132,0,8.132,22926
10.9,4,7.442,2,6.819,25491
10.9,3,8.274,1,7.715,23426
10.9,1,9.037,1,9.037,18357
10.9,3,7.662,0,6.827,63466
10.9,2,7.959,2,7.959,30681
10.9,2,7.795,2,7.795,9918
