$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
5.5,3,8.343,3,8.343,28846
5.5,0,8.444,3,7.32,20202
5.5,1,8.415,2,8.348,29166
5.5,2,7.227,2,7.227,40395
5.5,0,8.395,0,8.395,25776
5.5,3,8.532,3,8.532,6205
5.5,3,7.39,3,7.39,14879
5.5,4,7.407,0,7.27,9708
5.5,3,9.339,1,8.307,11320
5.5,3,8.534,4,6.344,22621
5.5,1,7.543,0,7.381,14743
5.5,0,7.727,0,7.727,29216
5.5,0,8.131,4,7.295,10997
5.5,4,7.633,1,7.279,44751
5.5,2,8.272,1,7.186,36495
5.5,0,9.357,1,6.83,34085
5.5,1,8.69,4,6.058,28042
5.5,2,7.147,3,6.864,49682
5.5,3,9.015,3,9.015,47655
5.5,0,9.167,0,9.167,42406
5.5,2,8.421,0,8.206,7995
5.5,0,10.78,4,8.526,26436
5.5,1,7.851,0,7.57,23320
5.5,3,9.323,1,6.679,7308
5.5,3,8.423,0,7.1,11515
5.5,0,8.34,3,8.028,15528
5.5,2,9.397,2,9.397,7606
5.5,3,9.587,3,9.587,9532
5.5,2,9.266,3,8.477,11513
5.5,2,7.36,2,7.36,32307
5.5,4,7.869,4,7.869,12044
5.5,1,7.442,2,7.039,16865
5.5,2,8.563,0,4.837,51925
5.5,3,8.261,3,8.261,25751
5.5,4,8.295,4,8.295,48887
5.5,1,8.099,1,8.099,6511
5.5,1,8.373,4,7.422,21363
5.5,1,8.795,3,6.46,22996
5.5,0,8.785,0,8.785,40259
5.5,3,7.874,1,7.143,20717
5.5,1,7.901,1,7.901,11780
5.5,4,7.559,2,7.067,30153
5.5,2,8.371,1,6.906,26412
5.5,2,8.25,1,6.726,19594
5.5,3,8.387,3,8.387,32158
5.5,4,7.851,1,7.411,12949
5.5,0,7.722,3,7.615,7190
5.5,3,8.274,3,8.274,36109
5.5,3,7.831,3,7.831,24597
5.5,2,7.68,2,7.68,18273
5.5,3,8.154,3,8.154,35723
5.5,3,7.291,3,7.291,29161
5.5,3,7.343,0,7.259,47818
5.5,0,8.159,1,7.992,12052
5.5,2,7.671,2,7.671,44812
5.5,3,7.751,4,7.377,20914
5.5,4,8.387,2,7.361,19572
5.5,0,7.464,4,6.754,13968
5.5,0,8.13,0,8.13,10496
5.5,1,8.429,0,7.053,12263
5.5,1,7.761,1,7.761,9493
5.5,0,8.287,3,5.729,25839
5.5,0,7.705,4,7.469,26612
5.5,3,7.183,3,7.183,24263
5.5,4,7.997,2,7.96,3809
5.5,4,8.525,1,8.125,15989
5.5,2,9.49,4,6.149,79175
5.5,1,7.81,2,7.407,11081
5.5,4,7.602,3,7.238,25654
5.5,0,7.286,4,6.702,18031
5.5,3,7.722,3,7.722,49597
5.5,4,8.718,4,8.718,19447
5.5,0,9.786,0,9.786,34197
5.5,2,8.161,2,8.161,21732
5.5,4,7.506,0,7.308,28788
5.5,0,7.977,4,7.022,50358
5.5,0,8.11,2,5.667,88401
5.5,0,9.28,4,7.985,19744
5.5,1,9.399,2,7.37,31833
5.5,1,7.049,3,6.719,21201
5.5,0,8.245,0,8.245,40903
5.5,0,7.538,0,7.538,23467
5.5,4,7.828,1,7.587,34465
5.5,4,8.115,4,8.115,16256
5.5,2,8.323,4,7.906,19090
5.5,1,7.813,3,6.968,7345
5.5,3,7.655,3,7.655,35905
5.5,0,7.835,4,7.797,69836
5.5,0,7.595,0,7.595,14735
5.5,3,7.895,4,7.857,38263
5.5,4,8.038,4,8.038,20395
5.5,2,8.903,2,8.903,44902
5.5,3,8.165,0,7.751,80420
5.5,0,9.22,0,9.22,7542
5.5,4,8.123,3,7.479,9607
5.5,4,7.016,3,6.841,16652
5.5,1,7.593,1,7.593,12768
5.5,1,8.331,1,8.331,45924
5.5,0,7.536,0,7.536,14675
5.5,3,7.942,2,6.947,12017
