$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
13.9,1,7.953,3,7.033,1949
13.9,2,6.951,2,6.951,6959
13.9,2,7.877,0,6.967,3798
13.9,1,6.417,1,6.417,4770
13.9,1,8.391,1,8.391,2406
13.9,4,7.57,2,4.753,13012
13.9,3,6.889,2,5.868,2675
13.9,4,6.99,4,6.99,13345
13.9,1,9.107,2,5.16,5562
13.9,2,8.767,3,4.533,8040
13.9,0,7.407,0,7.407,9955
13.9,0,9.509,2,8.282,6543
13.9,4,7.84,0,6.547,10420
13.9,0,8.765,3,7.727,7317
13.9,0,7.117,0,7.117,7727
13.9,2,7.609,4,7.133,2419
13.9,4,7.793,2,6.625,10008
13.9,2,8.242,2,8.242,6182
13.9,4,8.292,0,7.464,8009
13.9,4,8.332,3,7.26,24266
13.9,2,8.138,2,8.138,2688
13.9,0,7.74,2,6.482,6888
13.9,1,7.697,4,6.281,1397
13.9,4,7.698,2,5.897,2605
13.9,2,7.907,1,6.855,2342
13.9,1,8.255,0,7.17,1258
13.9,1,8.255,0,7.602,6297
13.9,2,8.342,1,6.696,3557
13.9,4,8.011,3,7.511,6339
13.9,4,7.615,3,6.389,4355
13.9,0,8.445,4,6.125,16222
13.9,0,9.088,1,6.293,10465
13.9,3,8.438,0,6.454,8795
13.9,3,7.75,4,6.849,2320
13.9,1,7.511,1,7.511,3508
13.9,4,8.509,3,7.945,7243
13.9,0,9.763,3,7.763,15695
13.9,3,8.624,1,7.939,10379
13.9,0,7.926,3,6.275,9507
13.9,1,8.181,2,5.547,4056
13.9,1,7.994,3,6.816,4324
13.9,2,8.582,0,6.483,2043
13.9,2,8.107,2,8.107,6707
13.9,4,8.77,0,7.475,17282
13.9,0,7.698,3,6.47,16186
13.9,0,7.36,4,4.124,5112
13.9,4,8.217,4,8.217,5670
13.9,4,8.086,2,7.809,3721
13.9,3,8.205,4,7.036,5592
13.9,3,7.83,2,5.945,22723
13.9,0,8.469,4,8.222,1176
13.9,0,7.57,2,6.004,7923
13.9,3,9.182,1,7.519,2227
13.9,4,8.72,1,7.557,4665
13.9,1,7.565,1,7.565,3911
13.9,0,9.661,3,8.205,7901
13.9,2,7.383,1,6.956,5513
13.9,3,7.5,3,7.5,2919
13.9,4,8.393,1,8.18,11252
13.9,2,8.153,3,6.678,9239
13.9,3,7.973,1,7.664,4777
13.9,2,7.993,4,5.383,8779
13.9,4,7.417,4,7.417,4904
13.9,3,8.666,3,8.666,1864
13.9,3,8.235,4,6.717,3038
13.9,0,8.473,1,7.641,14551
13.9,4,7.728,0,5.611,24901
13.9,4,7.637,0,6.242,5428
13.9,3,9.844,4,6.663,4868
13.9,4,8.252,3,5.563,13977
13.9,2,8.227,3,6.204,11516
13.9,4,7.194,2,5.904,13053
13.9,2,8.78,1,7.551,2735
13.9,3,7.811,1,6.498,2853
13.9,0,8.465,0,8.465,7660
13.9,4,6.891,1,5.894,14398
13.9,0,7.779,2,7.128,7085
13.9,2,7.849,3,6.61,10560
13.9,1,7.936,2,7.515,5196
13.9,1,9.69,0,7.194,13130
13.9,1,8.458,1,8.458,5199
13.9,1,7.574,1,7.574,6538
13.9,0,7.731,1,6.95,7837
13.9,3,7.615,0,6.432,1272
13.9,1,8.378,2,7.227,3205
13.9,1,8.614,2,5.651,8090
13.9,2,7.984,2,7.984,4657
13.9,0,7.663,4,6.275,7374
13.9,1,9.075,2,7.33,15600
13.9,3,7.943,0,6.766,5332
13.9,3,8.501,0,5.539,21334
13.9,3,8.84,2,4.898,5903
13.9,3,7.965,4,7.495,5634
13.9,1,8.867,4,7.29,11520
13.9,2,8.824,0,5.872,20609
13.9,3,9.116,3,9.116,761
13.9,4,8.424,4,8.424,4726
13.9,0,7.286,3,7.12,8164
13.9,4,9.611,2,6.936,5795
13.9,1,7.404,4,6.966,1107
