$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
2.7,4,9.311,0,8.813,23578
2.7,3,8.056,0,7.468,6656
2.7,3,8.858,0,8.193,35266
2.7,3,9.603,1,8.889,77290
2.7,1,8.958,1,8.958,24640
2.7,0,9.342,4,8.036,19765
2.7,2,8.135,2,8.135,74934
2.7,3,7.375,3,7.375,6447
2.7,4,7.678,4,7.678,26876
2.7,1,7.722,1,7.722,61516
2.7,4,8.727,3,7.634,7073
2.7,3,8.847,2,7.908,38833
2.7,1,7.674,1,7.674,18703
2.7,2,8.346,4,6.64,10184
2.7,2,6.542,3,6.48,6797
2.7,1,8.499,3,7.035,31671
2.7,0,7.459,0,7.459,13983
2.7,0,7.557,3,5.788,28566
2.7,2,8.374,4,7.832,9512
2.7,1,8.171,1,8.171,12478
2.7,1,6.955,1,6.955,10270
2.7,1,7.49,1,7.49,20256
2.7,0,7.76,0,7.76,42364
2.7,3,8.211,3,8.211,45866
2.7,3,8.471,4,7.927,32258
2.7,1,8.179,2,7.654,27520
2.7,1,8.575,3,8.426,11963
2.7,1,9.566,1,9.566,25801
2.7,4,8.528,0,7.032,61088
2.7,2,8.228,1,7.718,47858
2.7,1,8.186,0,7.491,11555
2.7,4,8.415,1,8.186,12739
2.7,1,9.019,1,9.019,7436
2.7,1,7.974,1,7.974,51824
2.7,0,8.31,3,7.317,10457
2.7,4,8.328,4,8.328,40869
2.7,0,7.145,3,6.015,33364
2.7,4,9.596,1,8.19,2581
2.7,2,8.046,1,7.027,14823
2.7,2,9.369,2,9.369,21385
2.7,4,8.689,3,7.657,6567
2.7,0,9.426,0,9.426,23299
2.7,3,7.298,1,6.742,23306
2.7,3,6.515,1,6.075,18558
2.7,4,7.8,4,7.8,28849
2.7,1,7.551,1,7.551,13370
2.7,4,8.307,3,7.581,53132
2.7,0,8.986,1,8.059,56462
2.7,2,8.291,0,7.428,20673
2.7,3,9.071,4,6.441,30682
2.7,4,10.132,4,10.132,13354
2.7,2,7.908,1,7.174,16318
2.7,3,7.704,3,7.704,14662
2.7,4,7.798,1,7.614,35079
2.7,0,6.998,0,6.998,12436
2.7,1,7.4,1,7.4,21422
2.7,4,7.61,1,6.893,10393
2.7,0,7.399,0,7.399,17907
2.7,0,8.487,0,8.487,54569
2.7,0,7.645,1,6.776,13485
2.7,2,7.165,2,7.165,36871
2.7,1,6.958,3,5.424,13472
2.7,2,7.866,2,7.866,8727
2.7,3,7.875,2,6.38,27641
2.7,2,7.621,3,7.12,29526
2.7,1,7.159,2,7.096,11927
2.7,1,8.288,1,8.288,8510
2.7,1,8.345,3,5.707,18541
2.7,3,8.157,1,8.028,21587
2.7,1,9.436,4,5.229,25974
2.7,1,9.042,1,9.042,28954
2.7,3,9.043,3,9.043,27842
2.7,1,8.955,2,6.341,23680
2.7,1,8.327,1,8.327,47849
2.7,1,9.065,0,8.866,12137
2.7,3,8.313,3,8.313,31977
2.7,0,7.821,1,6.336,27727
2.7,0,9.376,4,8.368,37792
2.7,2,7.587,0,7.198,17610
2.7,4,7.999,1,7.167,9329
2.7,4,7.816,3,7.142,10818
2.7,1,8.052,4,7.718,18155
2.7,3,7.502,1,7.437,19528
2.7,0,7.393,3,7.184,15694
2.7,0,7.782,4,7.694,7505
2.7,2,7.878,2,7.878,13243
2.7,1,7.833,4,6.81,35696
2.7,1,9.793,4,8.947,9305
2.7,0,8.243,0,8.243,15563
2.7,4,9.731,0,7.671,33199
2.7,1,8.493,1,8.493,22156
2.7,3,7.564,4,7.504,9199
2.7,0,8.414,1,8.298,21166
2.7,3,9.031,2,5.138,24742
2.7,3,8.052,1,5.449,31003
2.7,2,8.532,3,6.759,27798
2.7,2,7.35,4,7.237,22888
2.7,1,8.207,1,8.207,29879
2.7,3,7.583,2,7.004,18608
2.7,1,7.669,1,7.669,6244
