$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
8.8,1,6.518,4,5.469,6413
8.8,1,7.995,3,5.071,6828
8.8,0,8.05,4,8.033,3446
8.8,2,8.299,3,6.229,7976
8.8,0,7.251,3,6.564,6877
8.8,0,8.252,4,6.692,8358
8.8,3,8.505,2,7.226,1357
8.8,4,8.343,1,7.224,1059
8.8,4,8.464,2,6.419,4093
8.8,2,7.636,0,7.054,3044
8.8,0,8.941,0,8.941,11760
8.8,4,9.106,0,6.703,1096
8.8,4,9.016,3,6.861,5032
8.8,2,9.039,0,6.257,399
8.8,1,8.653,0,5.401,4273
8.8,3,8.182,3,8.182,2528
8.8,3,8.477,0,6.352,13483
8.8,3,7.791,0,7.403,6581
8.8,0,7.888,3,4.376,427
8.8,1,9.201,4,6.748,10100
8.8,2,7.433,3,6.092,1495
8.8,3,9.032,1,7.768,3470
8.8,3,7.736,4,7.195,5371
8.8,2,8.631,0,7.121,4638
8.8,3,7.662,2,4.658,1770
8.8,3,7.329,3,7.329,1633
8.8,2,7.479,1,6.742,8328
8.8,1,7.635,0,7.333,7620
8.8,2,8.087,3,6.088,2727
8.8,0,7.582,0,7.582,5985
8.8,3,7.687,1,5.974,16944
8.8,1,8.028,3,5.452,11772
8.8,1,8.357,1,8.357,2037
8.8,1,9.489,2,8.268,16389
8.8,1,8.719,0,5.848,9254
8.8,0,7.606,3,4.576,8165
8.8,4,7.25,4,7.25,7750
8.8,0,7.518,3,7.117,7130
8.8,3,8.218,0,7.193,361
8.8,1,8.44,1,8.44,7721
8.8,4,9.245,4,9.245,2657
8.8,3,8.829,3,8.829,2560
8.8,2,7.575,2,7.575,3613
8.8,3,7.09,3,7.09,9150
8.8,3,8.356,0,6.491,5527
8.8,4,8.25,2,6.558,2404
8.8,0,8.225,4,7.571,6046
8.8,4,7.841,0,6.587,11344
8.8,4,7.539,2,5.889,1993
8.8,1,8.364,3,7.076,8074
8.8,0,8.187,0,8.187,2373
8.8,4,8.422,3,7.523,10376
8.8,1,7.585,1,7.585,3118
8.8,0,7.599,2,6.514,7060
8.8,4,8.902,4,8.902,8452
8.8,0,8.986,4,5.041,3311
8.8,1,8.253,1,8.253,1956
8.8,4,9.206,0,8.399,2760
8.8,3,8.941,0,8.765,5349
8.8,2,7.359,1,6.641,6913
8.8,1,8.822,4,7.337,3750
8.8,3,8.699,4,6.263,10463
8.8,1,8.82,1,8.82,1730
8.8,2,8.848,2,8.848,7086
8.8,3,8.593,3,8.593,6089
8.8,4,8.308,1,6.803,8182
8.8,2,8.066,1,6.488,14648
8.8,2,8.238,2,8.238,5598
8.8,3,8.576,3,8.576,5191
8.8,1,7.057,4,5.614,3691
8.8,0,8.106,1,6.425,3844
8.8,1,6.657,3,6.238,14813
8.8,2,7.798,2,7.798,4355
8.8,1,7.61,4,6.923,2811
8.8,2,6.93,0,5.334,4089
8.8,3,7.489,2,6.948,2345
8.8,2,7.851,1,6.55,2144
8.8,2,8.157,2,8.157,8654
8.8,2,8.082,2,8.082,1845
8.8,2,7.606,3,6.96,4773
8.8,2,9.046,0,7.22,3530
8.8,3,7.647,4,5.625,4249
8.8,3,8.081,4,8.0,6239
8.8,3,9.15,0,7.804,10429
8.8,1,9.518,4,6.714,5292
8.8,2,7.145,3,6.478,7097
8.8,0,6.671,1,5.876,14382
8.8,4,7.533,3,6.878,10532
8.8,4,7.749,3,7.376,5035
8.8,2,7.328,4,6.044,2439
8.8,4,8.794,2,7.047,7360
8.8,1,7.969,2,7.841,1685
8.8,1,8.367,0,6.867,5963
8.8,0,7.567,1,7.33,14456
8.8,2,8.48,3,6.586,8299
8.8,2,9.103,3,7.345,3686
8.8,1,8.568,2,7.363,3193
8.8,4,8.146,2,6.094,2988
8.8,1,7.941,4,6.854,9195
8.8,1,8.797,0,7.252,3579
