$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
9.9,2,7.999,1,7.047,20017
9.9,3,7.994,4,7.638,6096
9.9,2,8.239,2,8.239,6171
9.9,4,8.083,4,8.083,17001
9.9,3,7.987,1,7.961,5850
9.9,0,9.432,0,9.432,10103
9.9,0,8.601,3,7.739,5037
9.9,3,7.603,3,7.603,3324
9.9,4,8.086,3,8.034,9850
9.9,3,7.872,1,6.263,3210
9.9,0,8.063,4,7.13,7399
9.9,4,7.691,4,7.691,5453
9.9,2,6.951,4,6.878,2622
9.9,4,7.944,4,7.944,6391
9.9,4,8.461,2,8.426,9079
9.9,1,8.441,1,8.441,6009
9.9,2,8.248,3,7.569,7488
9.9,3,7.035,1,6.801,5958
9.9,1,7.57,1,7.57,5625
9.9,2,7.633,2,7.633,6241
9.9,4,9.844,4,9.844,4004
9.9,2,8.452,4,6.672,10986
9.9,3,8.038,1,7.186,11389
9.9,3,7.893,4,7.552,10541
9.9,0,8.273,3,7.85,4842
9.9,0,8.949,2,7.627,1090
9.9,0,9.53,0,9.53,6244
9.9,2,8.423,3,7.267,3593
9.9,4,7.38,0,6.895,9366
9.9,4,9.033,4,9.033,6288
9.9,3,7.16,3,7.16,4090
9.9,2,8.385,2,8.385,4571
9.9,4,7.687,4,7.687,1169
9.9,3,7.026,3,7.026,1337
9.9,3,9.108,0,6.256,5034
9.9,2,7.114,2,7.114,10769
9.9,1,8.263,3,7.64,6528
9.9,2,7.747,2,7.747,9686
9.9,3,8.615,3,8.615,8366
9.9,2,8.059,2,8.059,2444
9.9,0,7.573,0,7.573,940
9.9,1,7.596,3,6.196,7541
9.9,1,7.952,4,7.768,7194
9.9,0,7.819,0,7.819,3298
9.9,1,8.708,2,7.22,6799
9.9,4,8.536,1,7.904,10337
9.9,0,9.045,4,7.664,10736
9.9,2,8.075,4,7.227,5898
9.9,2,8.302,3,7.214,5596
9.9,1,8.023,1,8.023,2972
9.9,1,9.302,4,6.815,9514
9.9,2,8.014,2,8.014,4823
9.9,4,8.363,1,8.081,26139
9.9,3,7.804,2,7.486,2256
9.9,0,7.631,0,7.631,2118
9.9,2,6.888,2,6.888,8683
9.9,1,7.561,1,7.561,3896
9.9,1,8.027,1,8.027,10599
9.9,1,8.061,0,8.059,10269
9.9,1,8.425,3,6.516,4426
9.9,1,8.134,1,8.134,10507
9.9,2,8.935,2,8.935,5909
9.9,1,7.938,2,7.517,9878
9.9,0,8.201,0,8.201,4144
9.9,0,9.276,0,9.276,3004
9.9,4,8.103,1,7.795,10370
9.9,2,8.373,0,7.986,3059
9.9,4,9.298,2,8.07,3539
9.9,0,8.984,0,8.984,3171
9.9,2,7.718,2,7.718,2321
9.9,3,8.214,2,6.679,6754
9.9,1,9.12,0,8.781,1387
9.9,4,8.655,4,8.655,18095
9.9,4,8.737,1,7.138,5391
9.9,2,6.999,0,6.77,11527
9.9,1,8.221,3,7.831,2042
9.9,2,8.248,0,8.173,8384
9.9,4,7.937,4,7.937,23821
9.9,3,7.76,0,7.599,6764
9.9,2,8.317,1,8.03,1507
9.9,3,8.509,3,8.509,6302
9.9,1,8.812,1,8.812,6361
9.9,4,7.852,1,7.61,4242
9.9,3,8.049,3,8.049,7451
9.9,0,8.287,0,8.287,5964
9.9,2,8.048,1,7.822,5106
9.9,1,8.498,2,8.002,2676
9.9,2,8.203,1,7.156,9661
9.9,0,8.372,0,8.372,9092
9.9,2,7.92,2,7.92,17715
9.9,1,7.314,1,7.314,2918
9.9,2,8.486,3,7.805,12241
9.9,3,7.64,2,6.421,4589
9.9,2,8.359,1,7.38,10626
9.9,1,8.422,1,8.422,7247
9.9,0,10.118,0,10.118,16102
9.9,3,8.851,4,7.349,2666
9.9,0,9.005,2,5.102,7432
9.9,0,8.413,4,7.312,10858
9.9,2,7.743,1,7.669,3522
