$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
9.6,0,8.641,1,7.689,7100
9.6,1,,,,0
9.6,1,8.191,1,8.191,329
9.6,0,,,,0
9.6,0,8.491,0,8.491,253
9.6,0,,,,0
9.6,0,,,,0
9.6,0,7.73,0,7.73,313
9.6,0,8.339,0,8.339,3862
9.6,0,7.528,0,7.528,313
9.6,0,8.605,0,8.605,376
9.6,0,8.375,0,8.375,8068
9.6,0,,,,0
9.6,1,,,,0
9.6,1,8.185,1,8.185,365
9.6,0,8.403,0,8.403,511
9.6,1,,,,0
9.6,0,,,,0
9.6,0,8.916,0,8.916,404
9.6,1,7.41,0,7.037,287
9.6,0,,,,0
9.6,0,8.021,0,8.021,2382
9.6,1,8.199,1,8.199,350
9.6,1,7.848,0,7.628,361
9.6,1,7.945,1,7.945,416
9.6,1,8.156,1,8.156,6596
9.6,1,,,,0
9.6,0,,,,0
9.6,0,7.555,0,7.555,382
9.6,0,,,,0
9.6,1,7.056,1,7.056,294
9.6,1,,,,0
9.6,0,8.121,0,8.121,529
9.6,0,7.897,0,7.897,296
9.6,0,8.994,0,8.994,272
9.6,1,9.279,1,9.279,373
9.6,0,6.785,0,6.785,287
9.6,0,9.857,0,9.857,276
9.6,0,,,,0
9.6,0,,,,0
9.6,0,,,,0
9.6,0,8.839,0,8.839,322
9.6,0,8.475,0,8.475,325
9.6,0,6.701,0,6.701,371
9.6,1,,,,0
9.6,0,7.335,0,7.335,351
9.6,0,7.462,1,7.377,306
9.6,0,,,,0
9.6,1,7.905,1,7.905,443
9.6,0,7.524,1,7.142,408
9.6,0,8.599,0,8.599,349
9.6,0,8.738,0,8.738,249
9.6,1,,,,0
9.6,1,,,,0
9.6,0,7.751,0,7.751,286
9.6,0,8.382,0,8.382,363
9.6,0,,,,0
9.6,1,,,,0
9.6,0,7.635,0,7.635,410
9.6,0,7.233,0,7.233,443
9.6,0,7.606,0,7.606,5501
9.6,0,,,,0
9.6,0,7.127,0,7.127,271
9.6,0,7.765,0,7.765,4307
9.6,1,,,,0
9.6,0,7.316,0,7.316,327
9.6,0,7.609,0,7.609,357
9.6,1,7.816,1,7.816,389
9.6,0,7.231,0,7.231,447
9.6,1,7.757,1,7.757,301
9.6,1,,,,0
9.6,1,8.041,1,8.041,460
9.6,0,7.355,0,7.355,1827
9.6,1,,,,0
9.6,1,8.0,1,8.0,1504
9.6,0,8.582,0,8.582,412
9.6,0,,,,0
9.6,0,,,,0
9.6,1,,,,0
9.6,0,7.209,0,7.209,362
9.6,1,8.326,1,8.326,308
9.6,0,,,,0
9.6,1,,,,0
9.6,0,8.346,0,8.346,292
9.6,0,,,,0
9.6,0,7.421,1,7.374,7046
9.6,1,,,,0
9.6,1,8.256,1,8.256,356
9.6,1,8.082,1,8.082,429
9.6,0,,,,0
9.6,1,6.836,0,6.354,406
9.6,0,8.455,0,8.455,376
9.6,0,7.231,0,7.231,413
9.6,0,8.255,0,8.255,546
9.6,1,8.301,1,8.301,690
9.6,0,,,,0
9.6,0,7.505,0,7.505,2066
9.6,1,,,,0
9.6,1,8.217,1,8.217,332
9.6,1,,,,0
