$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
10.0,1,8.496,6,8.455,93677
10.0,8,9.241,8,9.241,162653
10.0,6,8.384,6,8.384,183923
10.0,3,9.037,2,8.948,214414
10.0,1,9.889,3,9.689,172450
10.0,4,9.172,4,9.172,52035
10.0,1,8.296,4,7.695,544417
10.0,6,8.496,3,8.494,365584
10.0,6,9.699,8,9.137,253032
10.0,8,9.515,8,9.515,6270
10.0,9,8.641,9,8.641,218021
10.0,4,8.013,7,7.325,49676
10.0,3,9.378,0,7.556,292688
10.0,3,9.227,5,8.733,52893
10.0,7,8.504,7,8.504,154483
10.0,7,9.254,1,9.097,83495
10.0,9,9.169,9,9.169,2884
10.0,0,7.539,0,7.539,1959
10.0,9,8.466,9,8.466,231909
10.0,3,8.88,3,8.88,47771
10.0,8,9.254,7,8.032,109457
10.0,7,7.921,5,7.743,215862
10.0,1,7.798,6,7.502,2284
10.0,2,8.046,2,8.046,20271
10.0,2,8.207,7,6.909,46567
10.0,9,9.569,5,6.957,661386
10.0,1,9.14,6,8.178,175129
10.0,5,7.563,5,7.563,2260
10.0,2,8.149,4,7.788,68870
10.0,6,9.9,6,9.9,66751
10.0,1,9.21,8,8.715,107705
10.0,2,8.938,2,8.938,154008
10.0,2,8.976,2,8.976,505948
10.0,5,8.365,0,7.489,85692
10.0,4,8.01,4,8.01,78681
10.0,5,8.475,3,6.826,368469
10.0,8,8.901,8,8.901,11984
10.0,0,9.11,5,8.125,53642
10.0,0,8.571,0,8.571,174706
10.0,2,10.299,8,9.779,467222
10.0,2,9.234,1,8.325,376730
10.0,6,8.897,4,7.399,146891
10.0,3,9.109,3,9.109,209486
10.0,1,9.548,1,9.548,164003
10.0,8,9.34,8,9.34,78881
10.0,2,10.152,2,10.152,77020
10.0,4,8.676,4,8.676,2190
10.0,0,9.198,0,9.198,62561
10.0,1,8.664,1,8.664,51078
10.0,5,,,,0
10.0,8,8.375,7,8.304,39680
10.0,9,8.467,9,8.467,77730
10.0,9,8.36,9,8.36,19859
10.0,2,8.4,2,8.4,2409
10.0,9,7.698,7,7.408,20211
10.0,2,7.895,4,7.554,37575
10.0,9,9.535,0,8.834,470759
10.0,6,9.209,6,9.209,64915
10.0,0,8.724,0,8.724,248751
10.0,4,7.733,4,7.733,2494
10.0,7,8.854,7,8.854,165244
10.0,9,8.46,9,8.46,5615
10.0,0,9.698,0,9.698,210493
10.0,2,8.489,2,8.489,121161
10.0,9,8.865,8,7.712,214285
10.0,9,9.218,9,9.218,35434
10.0,3,9.778,3,9.778,23347
10.0,9,8.036,0,7.817,98536
10.0,8,9.083,9,8.848,94638
10.0,3,10.367,3,10.367,51683
10.0,5,8.878,7,7.838,36369
10.0,8,8.133,8,8.133,116957
10.0,9,8.604,2,8.528,377536
10.0,4,10.328,4,10.328,372030
10.0,9,9.27,9,9.27,351720
10.0,2,8.785,2,8.785,35745
10.0,3,7.961,3,7.961,167160
10.0,2,10.135,9,8.787,431466
10.0,7,8.109,4,7.368,32177
10.0,7,8.34,0,8.145,125319
10.0,3,8.641,5,7.748,224543
10.0,1,8.231,2,8.093,35854
10.0,7,9.404,7,9.404,132656
10.0,4,8.822,4,8.822,61772
10.0,9,8.443,0,7.064,333164
10.0,9,8.644,9,8.644,334251
10.0,5,9.004,5,9.004,1907
10.0,2,8.713,2,8.713,92901
10.0,4,8.835,4,8.835,196074
10.0,8,8.422,0,7.849,29002
10.0,9,8.73,9,8.73,63438
10.0,8,8.268,8,8.268,2159
10.0,7,9.391,3,7.432,381857
10.0,0,8.484,0,8.484,317752
10.0,1,10.256,1,10.256,401474
10.0,3,8.43,5,7.495,68251
10.0,8,8.105,8,8.105,2399
10.0,4,8.73,4,8.73,76395
10.0,3,8.695,3,8.695,50452
10.0,9,9.485,9,9.485,16723
