$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
3.1,4,7.922,1,7.895,4706
3.1,2,8.857,3,8.535,1026
3.1,0,7.597,0,7.597,7357
3.1,4,9.32,0,7.336,5859
3.1,1,7.866,3,5.31,8243
3.1,2,7.088,0,5.741,25989
3.1,3,8.291,2,6.792,2997
3.1,3,8.522,0,7.21,2815
3.1,4,8.13,1,6.508,12983
3.1,1,8.533,1,8.533,6679
3.1,4,8.632,4,8.632,9387
3.1,0,7.848,4,6.727,4594
3.1,4,7.546,3,7.127,4020
3.1,2,7.766,0,6.744,8548
3.1,3,8.079,1,6.878,10919
3.1,2,8.796,2,8.796,2567
3.1,4,8.516,2,5.681,1627
3.1,3,8.41,0,5.887,10962
3.1,2,8.001,3,7.925,7434
3.1,2,9.35,1,5.653,12191
3.1,4,7.634,4,7.634,2642
3.1,1,8.451,2,6.467,1715
3.1,0,8.531,0,8.531,10491
3.1,1,7.893,0,5.72,3512
3.1,0,6.957,3,6.84,2430
3.1,1,8.965,3,7.027,2720
3.1,0,7.872,0,7.872,4136
3.1,3,8.242,4,6.95,11478
3.1,1,7.941,2,6.233,14399
3.1,4,8.457,1,8.418,10772
3.1,0,8.328,1,6.858,11266
3.1,3,8.224,3,8.224,12362
3.1,3,7.802,2,5.843,2387
3.1,0,10.07,1,9.014,3162
3.1,0,7.895,0,7.895,10702
3.1,0,8.165,2,6.296,7067
3.1,0,7.837,4,5.421,4134
3.1,1,8.213,2,6.439,16700
3.1,2,9.213,1,6.087,9193
3.1,2,7.542,4,7.421,7083
3.1,1,6.758,2,6.591,4528
3.1,3,8.233,1,7.707,3789
3.1,0,7.539,0,7.539,8767
3.1,4,8.897,3,6.133,6691
3.1,1,8.511,1,8.511,7751
3.1,4,9.851,0,8.32,9237
3.1,4,8.89,4,8.89,10007
3.1,3,7.949,4,6.558,4431
3.1,3,7.725,0,6.985,4707
3.1,3,8.488,1,6.209,2800
3.1,4,9.017,2,8.13,6913
3.1,0,7.919,3,5.848,3029
3.1,0,9.85,2,8.542,7785
3.1,0,7.663,3,6.935,5737
3.1,1,8.648,2,7.145,1473
3.1,1,8.224,2,6.06,2037
3.1,1,7.895,0,7.241,3322
3.1,0,8.896,0,8.896,4284
3.1,2,7.008,2,7.008,6115
3.1,3,8.41,4,8.098,4385
3.1,4,8.253,1,7.145,4266
3.1,3,8.311,2,7.41,15873
3.1,0,7.398,2,6.002,9910
3.1,3,7.206,1,6.911,7862
3.1,2,7.614,2,7.614,5890
3.1,0,7.938,2,6.073,18914
3.1,3,8.313,0,6.528,4965
3.1,3,8.794,0,5.65,3437
3.1,0,7.764,4,5.757,8625
3.1,2,8.533,2,8.533,11690
3.1,2,7.957,0,5.922,8840
3.1,3,8.04,0,7.801,4939
3.1,1,8.124,4,5.515,6553
3.1,0,8.738,0,8.738,3632
3.1,2,7.716,4,5.838,2397
3.1,0,7.777,3,6.718,5294
3.1,0,8.233,1,5.413,5586
3.1,2,7.332,2,7.332,3658
3.1,1,8.769,2,6.17,6593
3.1,3,7.802,2,7.249,4682
3.1,1,8.683,1,8.683,7198
3.1,0,8.381,4,6.846,16791
3.1,0,7.853,4,6.587,9066
3.1,2,7.207,3,6.85,2804
3.1,2,8.031,1,6.575,2292
3.1,1,8.108,1,8.108,11788
3.1,2,8.563,4,8.452,3903
3.1,0,6.829,0,6.829,1602
3.1,3,7.296,3,7.296,2025
3.1,0,8.199,1,6.569,1211
3.1,0,8.436,0,8.436,5503
3.1,2,7.668,2,7.668,10358
3.1,4,7.11,1,4.853,5576
3.1,0,6.412,3,5.837,4095
3.1,4,8.369,0,6.763,14337
3.1,1,8.197,4,6.726,7996
3.1,1,7.137,4,7.036,3873
3.1,2,8.344,3,6.482,3812
3.1,3,8.967,4,7.666,14302
3.1,4,8.439,4,8.439,3857
