$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
0.2,2,7.441,0,6.932,26516
0.2,3,8.698,2,7.604,10960
0.2,0,8.369,1,7.489,24808
0.2,2,7.604,2,7.604,52989
0.2,2,7.057,4,6.01,10766
0.2,2,8.242,4,7.489,13298
0.2,4,7.013,4,7.013,63810
0.2,1,8.633,3,6.713,21316
0.2,4,8.773,3,6.84,22628
0.2,3,7.906,2,7.123,37386
0.2,2,7.594,3,6.855,20823
0.2,0,8.35,1,8.098,14929
0.2,3,8.685,2,7.396,6030
0.2,1,7.99,1,7.99,36233
0.2,2,8.59,2,8.59,12360
0.2,1,7.905,1,7.905,23962
0.2,4,8.559,4,8.559,11073
0.2,1,7.976,4,7.194,7624
0.2,0,8.461,0,8.461,68725
0.2,1,7.55,2,7.259,17692
0.2,0,7.597,0,7.597,26601
0.2,0,6.855,2,6.644,72850
0.2,3,7.746,1,6.164,52361
0.2,3,7.783,4,6.948,18865
0.2,2,8.425,1,6.994,14106
0.2,0,8.274,0,8.274,13077
0.2,3,8.201,3,8.201,8202
0.2,0,8.904,1,8.077,23028
0.2,4,7.892,4,7.892,55912
0.2,2,8.237,2,8.237,68434
0.2,2,9.004,2,9.004,7797
0.2,0,8.22,0,8.22,23534
0.2,2,8.475,2,8.475,11889
0.2,3,8.203,1,8.09,41992
0.2,4,7.86,1,7.763,15416
0.2,3,7.766,2,6.558,12231
0.2,1,8.419,0,6.894,23222
0.2,2,9.067,2,9.067,15480
0.2,2,8.363,4,8.362,42080
0.2,0,7.362,3,6.755,45315
0.2,1,8.104,1,8.104,18413
0.2,1,8.13,0,6.663,8693
0.2,4,7.586,4,7.586,16500
0.2,3,8.003,0,6.591,23897
0.2,3,8.102,3,8.102,5790
0.2,1,9.687,2,7.322,53845
0.2,4,8.983,3,7.386,29283
0.2,4,7.857,4,7.857,28630
0.2,3,8.185,3,8.185,14110
0.2,3,8.217,1,8.138,35153
0.2,4,7.527,4,7.527,48459
0.2,1,7.513,0,6.787,123965
0.2,2,9.736,2,9.736,34568
0.2,1,7.796,1,7.796,19334
0.2,2,7.013,0,6.815,18134
0.2,4,7.867,3,7.739,25044
0.2,3,6.811,3,6.811,24345
0.2,0,7.976,3,6.881,23740
0.2,4,8.698,3,7.083,12445
0.2,3,8.524,4,8.088,18070
0.2,2,7.346,4,6.614,39066
0.2,4,7.62,2,7.603,63586
0.2,4,7.844,0,7.727,68609
0.2,0,7.183,0,7.183,7855
0.2,1,7.163,2,6.384,9952
0.2,0,8.164,3,7.268,14076
0.2,2,8.856,3,8.263,26460
0.2,0,8.993,1,8.171,30268
0.2,0,7.928,3,4.902,21964
0.2,1,7.417,1,7.417,38021
0.2,1,7.462,4,5.281,49719
0.2,0,7.772,4,7.31,40443
0.2,2,8.444,2,8.444,20343
0.2,2,9.041,1,7.801,30411
0.2,0,7.737,4,7.447,12955
0.2,4,7.306,4,7.306,15884
0.2,2,8.578,2,8.578,54388
0.2,0,8.947,4,7.661,18255
0.2,4,7.163,4,7.163,55774
0.2,3,7.44,4,7.221,45809
0.2,3,8.521,3,8.521,36001
0.2,2,7.978,0,7.443,17261
0.2,1,8.829,0,8.71,39488
0.2,1,8.802,3,7.807,14332
0.2,3,7.869,1,7.61,43678
0.2,3,9.141,0,8.419,21139
0.2,4,8.903,3,8.165,17352
0.2,1,8.277,0,6.991,8288
0.2,1,7.858,0,7.839,22329
0.2,1,7.31,2,7.26,6719
0.2,3,8.14,0,7.166,126855
0.2,2,7.982,0,7.491,59713
0.2,0,8.959,0,8.959,10652
0.2,4,7.365,2,7.145,15427
0.2,4,7.692,4,7.692,11798
0.2,4,9.566,4,9.566,5551
0.2,4,8.201,0,6.21,58598
0.2,3,8.618,1,8.356,8641
0.2,1,8.342,1,8.342,7988
0.2,0,8.459,0,8.459,7845
