$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
7.7,3,7.811,1,7.454,5681
7.7,2,7.496,2,7.496,3896
7.7,1,7.839,0,7.445,4088
7.7,4,8.889,0,8.664,13885
7.7,4,8.425,4,8.425,13613
7.7,4,8.106,0,6.449,11982
7.7,3,7.387,3,7.387,2559
7.7,0,7.953,4,7.211,3941
7.7,2,8.167,0,7.697,4747
7.7,3,8.303,3,8.303,11445
7.7,4,8.741,1,7.061,11499
7.7,4,8.216,4,8.216,1911
7.7,2,7.785,4,7.263,5980
7.7,3,7.564,3,7.564,3720
7.7,1,7.24,1,7.24,3641
7.7,4,8.886,4,8.886,10347
7.7,0,9.249,2,6.445,4440
7.7,0,8.405,0,8.405,1481
7.7,1,8.875,3,8.152,12913
7.7,0,8.764,2,7.379,6575
7.7,1,8.324,1,8.324,13127
7.7,4,8.057,4,8.057,4512
7.7,1,6.879,1,6.879,21303
7.7,1,8.412,3,8.207,5421
7.7,3,7.692,2,6.78,9081
7.7,4,8.53,1,8.247,6178
7.7,4,7.67,2,6.465,3312
7.7,1,8.781,1,8.781,3095
7.7,1,7.268,1,7.268,1500
7.7,3,7.058,4,6.888,14799
7.7,3,9.233,3,9.233,3152
7.7,0,9.076,3,7.577,4320
7.7,1,8.198,1,8.198,25727
7.7,0,8.397,0,8.397,3563
7.7,2,8.374,2,8.374,11110
7.7,0,7.73,3,6.818,6153
7.7,3,7.789,2,7.598,25461
7.7,1,8.381,1,8.381,2631
7.7,4,8.29,4,8.29,3176
7.7,0,7.72,0,7.72,25235
7.7,3,8.376,4,6.736,6609
7.7,2,6.953,2,6.953,2166
7.7,3,8.287,0,6.872,7147
7.7,4,7.666,0,7.489,7151
7.7,2,7.616,2,7.616,11182
7.7,4,8.299,4,8.299,16806
7.7,1,7.983,1,7.983,10394
7.7,3,9.273,3,9.273,2487
7.7,1,8.021,1,8.021,4857
7.7,1,8.413,1,8.413,6265
7.7,0,9.465,3,7.603,8451
7.7,0,8.259,0,8.259,7107
7.7,0,7.71,0,7.71,2005
7.7,3,8.773,3,8.773,2095
7.7,4,8.033,0,7.584,6109
7.7,2,8.348,2,8.348,4816
7.7,2,8.565,2,8.565,7175
7.7,4,8.583,3,7.039,5268
7.7,4,8.341,0,7.664,5666
7.7,1,9.198,1,9.198,4624
7.7,0,8.739,4,7.936,4982
7.7,3,9.032,3,9.032,8121
7.7,1,7.307,2,7.24,7853
7.7,3,8.412,0,7.669,4319
7.7,1,7.481,1,7.481,5815
7.7,4,8.666,3,7.973,4036
7.7,2,8.698,4,8.677,1459
7.7,4,8.107,4,8.107,7271
7.7,2,7.233,2,7.233,3521
7.7,3,8.26,3,8.26,8386
7.7,2,7.583,1,7.034,8230
7.7,3,7.634,3,7.634,4002
7.7,0,8.448,2,7.179,4338
7.7,1,7.14,0,6.675,2659
7.7,1,8.044,0,6.013,9236
7.7,3,7.484,3,7.484,2089
7.7,2,7.786,3,6.799,13705
7.7,2,9.318,3,7.125,6102
7.7,2,7.287,2,7.287,7877
7.7,0,7.829,0,7.829,17148
7.7,2,7.959,0,6.793,4724
7.7,3,8.398,3,8.398,2599
7.7,2,8.109,2,8.109,784
7.7,1,9.048,0,8.232,9288
7.7,3,8.185,3,8.185,6193
7.7,4,8.648,3,8.391,2754
7.7,1,8.319,3,8.028,11718
7.7,2,10.697,2,10.697,5522
7.7,3,7.235,0,5.97,3827
7.7,0,8.389,0,8.389,4824
7.7,1,8.15,1,8.15,16262
7.7,0,8.182,1,7.891,15836
7.7,4,7.643,4,7.643,9283
7.7,0,7.897,2,6.612,5784
7.7,0,8.997,1,7.618,15811
7.7,1,8.188,1,8.188,4820
7.7,2,8.296,1,7.309,3474
7.7,3,6.802,4,6.631,2828
7.7,0,9.084,0,9.084,10194
7.7,2,9.676,4,7.808,2807
