$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
6.1,2,7.684,2,7.684,31356
6.1,4,8.242,0,7.782,33226
6.1,1,8.169,2,6.343,18737
6.1,3,8.205,1,7.431,17455
6.1,1,8.396,1,8.396,12851
6.1,2,7.588,2,7.588,32180
6.1,1,8.704,2,8.338,37711
6.1,1,8.263,3,7.982,35267
6.1,2,7.303,1,7.111,28422
6.1,3,8.552,3,8.552,41483
6.1,0,9.278,0,9.278,32300
6.1,4,7.9,4,7.9,38937
6.1,4,9.537,0,6.762,89490
6.1,1,8.596,2,6.726,25364
6.1,1,8.09,4,7.029,39713
6.1,2,8.548,3,7.041,14248
6.1,4,8.33,4,8.33,77178
6.1,2,9.608,0,8.115,9785
6.1,1,8.841,4,7.696,14713
6.1,4,8.056,4,8.056,11407
6.1,1,8.337,2,7.359,23116
6.1,2,8.943,0,8.355,34427
6.1,3,8.535,0,8.0,17651
6.1,0,8.142,1,8.066,10920
6.1,4,8.409,4,8.409,28669
6.1,2,8.529,1,7.986,45917
6.1,3,8.854,0,8.187,48759
6.1,3,8.89,3,8.89,21907
6.1,0,7.886,0,7.886,15932
6.1,4,8.465,1,6.957,21425
6.1,3,6.72,2,6.3,18861
6.1,3,7.247,3,7.247,21401
6.1,2,8.938,4,5.411,18177
6.1,3,8.448,1,8.328,8111
6.1,4,7.313,4,7.313,10757
6.1,1,8.077,1,8.077,7482
6.1,0,7.749,1,7.446,13237
6.1,0,8.317,1,6.829,26998
6.1,2,7.585,2,7.585,19299
6.1,1,8.613,2,6.906,29395
6.1,0,7.465,2,7.415,19336
6.1,4,7.286,3,7.211,25561
6.1,1,7.681,2,7.431,57034
6.1,3,8.036,3,8.036,22339
6.1,1,8.851,3,6.537,10739
6.1,2,7.188,2,7.188,29906
6.1,4,7.526,4,7.526,17927
6.1,1,8.735,0,8.172,34520
6.1,2,8.905,1,6.908,33220
6.1,4,8.845,1,7.429,76209
6.1,0,7.763,4,7.035,28884
6.1,1,7.466,0,7.246,29270
6.1,0,9.092,2,7.465,44227
6.1,3,6.892,1,6.715,4784
6.1,4,8.563,4,8.563,5983
6.1,3,7.562,3,7.562,20424
6.1,2,8.71,0,5.532,15873
6.1,2,7.632,2,7.632,19251
6.1,4,7.803,0,7.083,33932
6.1,1,8.124,1,8.124,39448
6.1,4,7.226,0,6.925,5919
6.1,4,8.639,1,7.218,57714
6.1,1,7.723,3,7.225,9596
6.1,0,8.177,2,6.97,22639
6.1,0,7.505,0,7.505,37092
6.1,1,8.289,0,6.433,16678
6.1,4,7.155,4,7.155,12607
6.1,1,8.647,0,8.539,7533
6.1,2,8.076,0,7.406,19691
6.1,4,7.415,2,7.314,79922
6.1,1,7.748,4,7.712,10627
6.1,1,7.788,1,7.788,19188
6.1,1,8.525,2,8.05,7473
6.1,2,8.545,4,6.978,30498
6.1,1,8.033,0,5.841,24423
6.1,3,7.598,1,7.441,91074
6.1,4,8.247,4,8.247,59729
6.1,3,9.106,4,5.7,54859
6.1,0,8.303,1,7.618,10658
6.1,0,7.754,4,5.744,31806
6.1,3,8.007,4,6.741,40561
6.1,0,9.016,2,6.754,10743
6.1,3,8.406,3,8.406,21482
6.1,0,7.458,1,7.427,19700
6.1,2,7.717,2,7.717,18372
6.1,1,7.382,1,7.382,20059
6.1,4,8.176,4,8.176,20039
6.1,3,8.223,3,8.223,21436
6.1,2,8.761,2,8.761,13519
6.1,0,9.612,1,8.081,22737
6.1,2,8.379,2,8.379,88859
6.1,1,7.73,0,7.541,41880
6.1,0,9.017,0,9.017,42123
6.1,4,8.315,0,7.255,13340
6.1,1,7.728,1,7.728,5767
6.1,2,8.315,2,8.315,5571
6.1,2,7.589,0,6.812,24346
6.1,3,7.876,1,7.049,19850
6.1,4,7.907,4,7.907,11637
6.1,1,7.681,1,7.681,64335
