$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
12.1,2,7.666,0,6.635,4369
12.1,0,7.668,4,6.151,7808
12.1,1,8.516,1,8.516,11032
12.1,3,8.436,4,6.784,4642
12.1,4,7.998,4,7.998,5859
12.1,0,7.407,4,7.296,11693
12.1,3,8.154,2,7.094,3515
12.1,3,6.807,0,6.135,1043
12.1,0,7.217,1,6.819,8823
12.1,4,7.632,4,7.632,9868
12.1,4,7.628,1,5.798,3358
12.1,1,7.928,3,5.602,4553
12.1,2,7.806,3,6.017,16487
12.1,2,7.572,0,5.412,6408
12.1,1,9.641,1,9.641,9066
12.1,2,8.909,4,8.587,4384
12.1,3,7.437,1,7.163,4020
12.1,1,8.78,3,8.708,6104
12.1,1,7.511,1,7.511,1749
12.1,3,8.252,3,8.252,3432
12.1,2,7.109,4,6.71,8133
12.1,2,8.04,1,7.519,3895
12.1,2,8.89,4,6.192,6533
12.1,1,7.833,3,6.007,10996
12.1,1,8.153,1,8.153,4208
12.1,4,8.317,1,6.384,4275
12.1,1,6.243,3,5.791,9566
12.1,4,8.422,0,5.995,16410
12.1,4,8.118,2,3.707,3317
12.1,4,8.406,3,5.861,5180
12.1,1,7.831,2,5.887,4751
12.1,4,7.892,1,6.862,3716
12.1,0,8.825,4,8.457,15544
12.1,4,7.45,2,7.358,11409
12.1,1,8.622,2,8.266,4597
12.1,2,8.028,2,8.028,4691
12.1,2,7.379,1,6.568,4979
12.1,2,10.084,1,7.435,2668
12.1,1,8.778,3,8.098,5101
12.1,1,8.436,4,6.714,6823
12.1,4,8.967,3,5.376,5510
12.1,2,8.001,0,6.914,7220
12.1,0,7.998,0,7.998,8341
12.1,1,8.656,3,7.51,8128
12.1,1,7.679,2,7.327,14508
12.1,3,7.768,4,6.168,7816
12.1,4,8.263,3,8.086,9444
12.1,3,8.806,4,7.001,5347
12.1,0,8.14,0,8.14,9540
12.1,1,9.111,3,7.244,10612
12.1,0,8.091,1,6.771,5167
12.1,1,8.133,0,7.098,9900
12.1,4,7.51,4,7.51,4330
12.1,2,8.734,3,7.537,2704
12.1,3,8.667,2,6.868,7908
12.1,3,7.549,1,6.707,13945
12.1,0,9.082,2,8.28,14233
12.1,3,7.377,2,5.63,4589
12.1,2,8.818,4,8.253,8480
12.1,3,8.574,4,6.77,9645
12.1,3,8.417,2,6.509,874
12.1,1,9.182,2,5.699,4520
12.1,0,8.393,0,8.393,2099
12.1,2,9.183,4,7.455,9906
12.1,0,8.15,4,6.464,9087
12.1,2,8.061,4,6.52,4488
12.1,2,8.409,0,7.729,3992
12.1,3,7.042,4,6.999,13079
12.1,3,7.094,2,6.683,1201
12.1,2,7.653,4,7.009,10564
12.1,4,7.651,2,6.282,6245
12.1,3,7.806,1,5.093,541
12.1,0,9.379,0,9.379,10444
12.1,1,8.402,1,8.402,3933
12.1,4,8.77,0,7.101,2388
12.1,2,7.603,2,7.603,4032
12.1,1,8.231,4,6.155,2035
12.1,2,8.24,2,8.24,4997
12.1,4,6.971,3,5.739,2105
12.1,2,7.37,4,7.253,1819
12.1,3,6.965,0,6.801,1896
12.1,0,7.888,2,7.183,4177
12.1,4,8.255,4,8.255,6970
12.1,3,7.765,4,6.865,1049
12.1,0,7.683,4,6.77,6244
12.1,4,8.803,4,8.803,14796
12.1,2,8.183,2,8.183,6965
12.1,0,7.834,4,5.445,2577
12.1,0,8.189,3,7.359,10050
12.1,1,8.278,3,7.742,1292
12.1,4,8.414,3,6.089,6171
12.1,1,8.726,0,7.698,4020
12.1,0,8.929,2,6.852,4849
12.1,1,8.256,2,8.088,7163
12.1,3,8.997,2,7.97,4780
12.1,0,8.158,2,6.518,2892
12.1,3,8.89,0,7.412,3469
12.1,4,8.022,3,6.12,4350
12.1,2,9.292,0,7.569,5724
12.1,0,8.726,4,6.193,5524
