$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
13.8,2,8.336,0,5.075,3768
13.8,4,7.699,3,7.074,5888
13.8,2,7.078,2,7.078,6825
13.8,3,7.845,0,7.415,3711
13.8,3,8.46,3,8.46,6727
13.8,1,7.911,1,7.911,8936
13.8,0,7.564,1,7.011,9090
13.8,0,8.553,0,8.553,1644
13.8,0,8.044,3,7.376,3842
13.8,1,9.376,2,7.667,6907
13.8,4,9.198,0,8.017,9042
13.8,4,8.533,4,8.533,5207
13.8,3,8.71,4,7.957,3207
13.8,3,8.471,2,7.347,4688
13.8,3,8.737,4,6.348,3312
13.8,3,7.273,1,7.186,9386
13.8,4,8.424,4,8.424,5056
13.8,1,7.544,1,7.544,2717
13.8,4,7.734,4,7.734,1495
13.8,1,8.584,1,8.584,3372
13.8,0,7.592,4,7.433,1337
13.8,4,9.27,4,9.27,3286
13.8,4,8.441,0,8.111,4879
13.8,1,8.919,4,8.308,6903
13.8,0,8.769,1,7.497,9514
13.8,4,8.223,4,8.223,1742
13.8,0,8.288,1,7.49,2699
13.8,0,8.815,4,8.291,7330
13.8,2,7.396,4,7.383,8911
13.8,4,7.877,4,7.877,6738
13.8,1,8.333,1,8.333,3675
13.8,3,8.818,3,8.818,6567
13.8,1,7.901,1,7.901,19658
13.8,2,8.289,0,7.313,6572
13.8,3,8.344,1,7.279,11674
13.8,3,8.363,3,8.363,4869
13.8,4,7.431,1,7.36,6242
13.8,4,8.551,1,6.849,14170
13.8,3,9.063,3,9.063,7051
13.8,0,9.386,1,7.5,5230
13.8,1,8.163,0,7.812,3523
13.8,4,8.75,3,7.638,5113
13.8,1,7.418,2,7.259,12932
13.8,4,8.292,4,8.292,2747
13.8,3,8.948,1,7.545,3333
13.8,3,7.937,1,7.861,4858
13.8,2,8.191,1,7.776,8952
13.8,0,8.621,3,7.543,2833
13.8,2,8.732,2,8.732,4000
13.8,4,8.428,2,7.24,3692
13.8,0,8.071,0,8.071,6682
13.8,1,8.203,1,8.203,5719
13.8,0,7.625,3,7.528,7986
13.8,2,8.208,1,7.695,8370
13.8,3,7.58,3,7.58,810
13.8,4,7.749,2,6.972,3869
13.8,3,7.326,3,7.326,1635
13.8,3,7.829,0,6.923,3873
13.8,0,8.167,0,8.167,4425
13.8,0,7.646,1,7.386,7854
13.8,2,7.682,1,6.861,4424
13.8,3,7.413,3,7.413,7575
13.8,0,8.532,0,8.532,953
13.8,2,8.715,2,8.715,9429
13.8,0,8.052,0,8.052,3503
13.8,3,8.226,3,8.226,2490
13.8,0,8.076,3,7.051,2284
13.8,3,8.164,1,6.958,8207
13.8,1,8.109,3,6.565,4370
13.8,1,9.289,4,7.163,5163
13.8,1,7.598,1,7.598,3810
13.8,2,8.471,2,8.471,2521
13.8,3,7.802,0,7.791,1937
13.8,1,8.093,1,8.093,3660
13.8,0,7.836,0,7.836,13671
13.8,3,7.759,3,7.759,2129
13.8,0,9.148,0,9.148,4365
13.8,0,7.506,4,6.877,7522
13.8,3,8.679,3,8.679,2129
13.8,1,7.738,3,7.232,11752
13.8,4,8.12,0,7.767,3259
13.8,3,8.53,4,7.214,10661
13.8,3,7.168,3,7.168,3878
13.8,1,8.726,1,8.726,7254
13.8,3,8.523,1,7.206,11257
13.8,3,8.383,1,7.9,3338
13.8,2,8.708,4,6.131,8558
13.8,3,8.021,3,8.021,7715
13.8,3,7.455,3,7.455,7944
13.8,2,7.652,0,7.561,4352
13.8,3,8.324,1,7.737,6558
13.8,3,7.61,0,5.499,9822
13.8,3,7.874,1,7.635,1872
13.8,0,8.027,0,8.027,10761
13.8,3,7.932,3,7.932,5009
13.8,3,8.421,4,7.151,12620
13.8,1,10.004,1,10.004,3829
13.8,0,8.834,0,8.834,7224
13.8,4,9.41,4,9.41,2430
13.8,1,8.025,1,8.025,4478
