$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
5.1,3,7.76,1,7.05,1088
5.1,4,8.763,3,8.312,14889
5.1,0,7.51,2,5.23,7920
5.1,3,7.612,2,6.749,5915
5.1,4,8.804,4,8.804,2294
5.1,1,7.358,1,7.358,14087
5.1,3,8.632,0,7.92,4982
5.1,4,9.085,2,8.097,11398
5.1,2,9.192,1,8.638,7652
5.1,4,7.464,3,6.576,5288
5.1,2,9.36,1,5.134,1809
5.1,1,8.984,3,6.995,1955
5.1,4,8.979,4,8.979,4158
5.1,4,7.853,0,7.581,1481
5.1,1,7.232,4,6.024,7478
5.1,0,8.585,2,8.09,5807
5.1,2,8.525,3,6.97,7745
5.1,0,8.521,2,6.76,6799
5.1,1,8.037,3,6.469,3417
5.1,2,8.412,2,8.412,2064
5.1,2,8.549,2,8.549,7628
5.1,1,9.132,3,8.684,8466
5.1,1,7.586,0,5.745,951
5.1,4,7.995,1,7.371,4221
5.1,2,7.515,4,5.928,1715
5.1,0,8.2,0,8.2,1797
5.1,0,7.724,0,7.724,2661
5.1,2,8.206,4,4.993,11500
5.1,0,8.266,0,8.266,10300
5.1,2,9.879,3,7.374,12931
5.1,1,8.063,0,7.499,5755
5.1,1,9.81,2,6.561,5643
5.1,4,8.07,3,6.952,5109
5.1,3,8.562,2,7.049,4704
5.1,3,8.213,2,4.809,7786
5.1,0,7.945,3,6.383,1396
5.1,3,7.903,0,5.281,3363
5.1,4,8.032,1,6.28,7181
5.1,1,7.703,1,7.703,6826
5.1,2,7.074,4,6.064,6828
5.1,3,7.872,2,6.966,7092
5.1,3,7.726,3,7.726,3665
5.1,3,7.662,3,7.662,6368
5.1,1,7.844,1,7.844,3889
5.1,4,8.393,2,7.312,6141
5.1,2,8.949,2,8.949,5230
5.1,2,7.467,2,7.467,13626
5.1,0,7.429,1,5.782,6146
5.1,4,9.205,0,6.469,19047
5.1,0,8.647,1,6.176,2470
5.1,1,8.23,4,5.449,2382
5.1,1,7.602,1,7.602,3524
5.1,0,7.913,3,4.96,4272
5.1,1,7.841,0,5.91,17934
5.1,0,8.031,0,8.031,9352
5.1,1,7.884,4,7.122,1480
5.1,2,8.017,2,8.017,7449
5.1,3,8.186,4,7.65,11925
5.1,2,8.022,0,6.614,5277
5.1,0,7.933,1,7.901,2527
5.1,3,8.787,3,8.787,5447
5.1,0,8.71,2,8.189,1632
5.1,2,7.069,4,6.698,8646
5.1,4,6.889,0,6.261,6707
5.1,0,7.281,4,5.608,3424
5.1,1,8.9,4,6.422,6372
5.1,0,8.223,3,7.083,5695
5.1,1,7.896,1,7.896,6492
5.1,1,8.069,4,5.761,3247
5.1,0,7.603,0,7.603,3275
5.1,4,7.657,3,7.241,8860
5.1,0,7.758,2,4.908,1304
5.1,3,8.381,1,5.781,830
5.1,1,8.55,2,7.171,1882
5.1,2,7.874,1,5.226,5631
5.1,1,8.876,3,6.484,2107
5.1,2,7.884,2,7.884,11195
5.1,2,7.346,2,7.346,3609
5.1,1,9.416,2,6.814,5799
5.1,0,7.582,4,6.269,9057
5.1,3,8.18,0,8.149,5182
5.1,3,7.811,0,7.498,6592
5.1,3,6.87,1,4.879,13567
5.1,3,8.661,4,7.48,4017
5.1,3,8.569,0,6.163,13520
5.1,3,8.42,2,6.181,4609
5.1,2,8.179,0,5.806,2741
5.1,2,9.207,3,9.04,2772
5.1,1,7.809,3,6.957,5465
5.1,2,8.817,3,7.476,4890
5.1,1,8.244,4,6.937,10304
5.1,1,8.949,3,7.044,7673
5.1,2,8.589,1,5.866,11984
5.1,0,8.505,2,5.799,4375
5.1,1,8.962,0,7.226,4920
5.1,2,8.648,2,8.648,2360
5.1,0,7.225,4,6.306,11830
5.1,2,6.996,3,6.876,18628
5.1,3,7.999,4,5.82,5443
5.1,3,8.036,1,7.245,17051
